VLC for Android,https://github.com/videolan/vlc,https://play.google.com/store/apps/details?id=org.videolan.vlc,Video_Players_and_Editors,videolan/vlc,org.videolan.vlc,5792,4.4,1297688,194120
DuckDuckGo,https://github.com/duckduckgo/android,https://play.google.com/store/apps/details?id=com.duckduckgo.mobile.android,Tools,duckduckgo/android,com.duckduckgo.mobile.android,1168,4.7,374947,106120
Maps.me,https://github.com/mapsme/omim,https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro,Travel_and_Local,mapsme/omim,com.mapswithme.maps.pro,3211,4.5,1132147,66280
Signal,https://github.com/WhisperSystems/Signal-Android,https://play.google.com/store/apps/details?id=org.thoughtcrime.securesms,Communication,WhisperSystems/Signal-Android,org.thoughtcrime.securesms,12537,4.6,412790,62600
Wikipedia Android,https://github.com/wikimedia/apps-android-wikipedia,https://play.google.com/store/apps/details?id=org.wikipedia,Books_and_Reference,wikimedia/apps-android-wikipedia,org.wikipedia,1119,4.6,615059,47080
zxing,https://github.com/zxing/zxing,https://play.google.com/store/apps/details?id=com.google.zxing.client.android,Shopping,zxing/zxing,com.google.zxing.client.android,24773,4.1,631573,40501
WordPress,https://github.com/wordpress-mobile/WordPress-Android,https://play.google.com/store/apps/details?id=org.wordpress.android,Productivity,wordpress-mobile/WordPress-Android,org.wordpress.android,2259,4.5,140571,21640
Telegram Messenger,https://github.com/DrKLO/Telegram,https://play.google.com/store/apps/details?id=org.telegram.messenger,Communication,DrKLO/Telegram,org.telegram.messenger,13452,4.5,4621495,17000
Simple Gallery,https://github.com/SimpleMobileTools/Simple-Gallery,https://play.google.com/store/apps/details?id=com.simplemobiletools.gallery,Tools,SimpleMobileTools/Simple-Gallery,com.simplemobiletools.gallery,1138,4.6,100913,16840
K-9 Mail,https://github.com/k9mail/k-9,https://play.google.com/store/apps/details?id=com.fsck.k9,Communication,k9mail/k-9,com.fsck.k9,4812,3.8,90771,15395
