XML_file_name,View_name,Resource_name
navigation_main,group,main
navigation_main,group,misc
navigation_main,item,profiles
navigation_main,item,subscriptions
navigation_main,item,customRules
navigation_main,item,globalSettings
navigation_main,item,faq
navigation_main,item,about
custom_rules_menu,item,action_manual_settings
custom_rules_menu,item,action_import_clipboard
custom_rules_menu,item,action_import_gfwlist
profile_share_popup,item,action_qr_code
profile_share_popup,item,action_export_clipboard
app_manager_menu,item,action_apply_all
app_manager_menu,item,action_export_clipboard
app_manager_menu,item,action_import_clipboard
scanner_menu,item,action_import_clipboard
custom_rules_selection,item,action_select_all
custom_rules_selection,item,action_cut
custom_rules_selection,item,action_copy
custom_rules_selection,item,action_delete
subscription_menu,item,action_manual_settings
subscription_menu,item,action_update_subscription
profile_manager_menu,item,action_scan_qr_code
profile_manager_menu,item,action_import_clipboard
profile_manager_menu,item,action_import_file
profile_manager_menu,item,action_replace_file
profile_manager_menu,item,action_manual_settings
profile_manager_menu,item,action_export_clipboard
profile_manager_menu,item,action_export_file
profile_config_menu,item,action_delete
profile_config_menu,item,action_apply
layout_custom_rules,androidx.recyclerview.widget.RecyclerView,list
ad_unified,ImageView,ad_app_icon
ad_unified,TextView,ad_body
ad_unified,TextView,ad_headline
ad_unified,TextView,ad_advertiser
ad_unified,Button,ad_call_to_action
ad_unified,RatingBar,ad_stars
dialog_subscription,com.google.android.material.textfield.TextInputLayout,content_layout
dialog_subscription,com.google.android.material.textfield.TextInputEditText,content
icon_list_item_2,ImageView,oid:id/icon
icon_list_item_2,ImageView,unlock
icon_list_item_2,TextView,oid:id/text1
icon_list_item_2,TextView,oid:id/text2
navigation_header,TextView,drawer_title
layout_main,androidx.coordinatorlayout.widget.CoordinatorLayout,snackbar
layout_main,androidx.coordinatorlayout.widget.CoordinatorLayout,fragment_holder
layout_main,com.google.android.material.navigation.NavigationView,navigation
layout_main,com.github.shadowsocks.widget.ServiceButton,fab
layout_main,com.github.shadowsocks.widget.StatsBar,stats
layout_main,TextView,tx
layout_main,TextView,txRate
layout_main,TextView,rx
layout_main,TextView,rxRate
layout_main,TextView,status
dialog_acl_rule,Spinner,template_selector
dialog_acl_rule,com.google.android.material.textfield.TextInputLayout,content_layout
dialog_acl_rule,com.google.android.material.textfield.TextInputEditText,content
layout_scanner,fragment,barcode
layout_profile_config,fragment,content
preference_dialog_password,TextView,oid:id/message
preference_dialog_password,com.google.android.material.textfield.TextInputEditText,oid:id/edit
layout_list,androidx.recyclerview.widget.RecyclerView,list
layout_profile,LinearLayout,container
layout_profile,LinearLayout,ad_container
layout_profile,TextView,oid:id/text1
layout_profile,androidx.appcompat.widget.AppCompatImageView,subscription
layout_profile,androidx.appcompat.widget.AppCompatImageView,edit
layout_profile,androidx.appcompat.widget.AppCompatImageView,share
layout_profile,com.github.shadowsocks.widget.AutoCollapseTextView,oid:id/text2
layout_profile,com.github.shadowsocks.widget.AutoCollapseTextView,traffic
layout_subscriptions,androidx.recyclerview.widget.RecyclerView,list
layout_apps,com.google.android.material.appbar.MaterialToolbar,toolbar
layout_apps,androidx.coordinatorlayout.widget.CoordinatorLayout,snackbar
layout_apps,SearchView,search
layout_apps,TextView,tv_mode
layout_apps,RadioGroup,bypassGroup
layout_apps,ProgressBar,loading
layout_apps,androidx.recyclerview.widget.RecyclerView,list
layout_apps,androidx.appcompat.widget.AppCompatRadioButton,btn_off
layout_apps,androidx.appcompat.widget.AppCompatRadioButton,btn_on
layout_apps,androidx.appcompat.widget.AppCompatRadioButton,btn_bypass
layout_about,com.github.shadowsocks.widget.AutoCollapseTextView,tv_about
layout_global_settings,fragment,content
layout_udp_fallback,androidx.recyclerview.widget.RecyclerView,list
layout_tasker,androidx.recyclerview.widget.RecyclerView,list
layout_tasker,Switch,serviceSwitch
layout_apps_item,ImageView,itemicon
layout_apps_item,TextView,title
layout_apps_item,TextView,desc
layout_apps_item,Switch,itemcheck
