XML_file_name,View_name,Resource_name
warning_android7,TextView,warning_title
warning_android7,TextView,warning_body
warning_android7,Button,button_android7_ok
warning_android7,Button,button_android7_close
warning,TextView,warning_title
warning,TextView,warning_body
warning,ScrollView,SCROLLER_ID
warning,Button,button_ok
warning,Button,button_close
home,ImageView,imageView
home,android.support.v4.view.ViewPager,pager
home,LinearLayout,larr
home,LinearLayout,rarr
home,Button,buttonHome
home,TextView,linkHome
alert,LinearLayout,linearLayout1
alert,TextView,textView1
device_ready,TextView,textView3_1
device_ready,TextView,textView3_2
device_ready,TextView,textView4_1
device_ready,TextView,textView4_2
device_ready,LinearLayout,linearLayout1
device_ready,LinearLayout,linearLayout2
device_ready,LinearLayout,linearLayout1_1
device_ready,LinearLayout,linearLayout2_1
device_ready,ImageView,imgViewPrey2
device_ready,ImageView,imgViewPreyAccount
device_ready,ImageView,imgViewSetup
webview,WebView,install_browser
set_pin,ScrollView,ScrollView01
set_pin,EditText,pin_edit
fingerprint_dialog_content,TextView,fingerprint_description
fingerprint_dialog_content,ImageView,fingerprint_icon
panelweb,WebView,myWebView
activity_webview,WebView,install_browser
activity_video,SurfaceView,videoSurface
fingerprint_dialog_container,LinearLayout,buttonPanel
fingerprint_dialog_container,Button,first_dialog_button
fingerprint_dialog_container,Button,second_dialog_button
custom_notification_small,ImageView,noti_escudo
custom_notification_small,ImageView,noti_prey_logo
custom_notification_small,TextView,noti_title
custom_notification_small,TextView,noti_body
signin,TextView,textViewInit1
signin,TextView,textViewInit2
signin,TextView,linkSignin
signin,EditText,editTextEmailAddress
signin,EditText,editTextPassword
signin,Button,buttonSignin
simple_camera,SurfaceView,surfaceView1
password2,ImageView,imgViewPrey
password2,ImageView,imgViewPrey2
password2,TextView,textView1
password2,TextView,textView2
password2,TextView,device_ready_h2_text
password2,TextView,link_forgot_password
password2,EditText,password_pass_txt
password2,Button,password_btn_login
super_lock,LinearLayout,linea_pin
super_lock,LinearLayout,linea_cajita
super_lock,LinearLayout,linea_button
super_lock,TextView,textViewPin
super_lock,EditText,editTextPin
super_lock,Button,button_Super_Lock_Unlock
barcode_capture,com.prey.barcodereader.ui.camera.CameraSourcePreview,preview
barcode_capture,TextView,textView
barcode_capture,com.prey.barcodereader.ui.camera.GraphicOverlay,graphicOverlay
custom_notification3,ImageView,image_pic
custom_notification3,ImageView,noti_prey_logo
custom_notification3,TextView,noti_title
custom_notification3,TextView,noti_body
custom_notification3,TextView,noti_button
fingerprint_dialog_backup,TextView,password_description
fingerprint_dialog_backup,TextView,password_description2
fingerprint_dialog_backup,EditText,password
fingerprint_dialog_backup,EditText,password2
activity_barcode,TextView,status_message
activity_barcode,TextView,barcode_value
activity_barcode,Button,read_barcode
activity_barcode,CheckBox,auto_focus
activity_barcode,CheckBox,use_flash
report,fragment,map
report,WebView,install_browser
custom_notification2,ImageView,image_pic
custom_notification2,ImageView,noti_prey_logo
custom_notification2,TextView,noti_title
custom_notification2,TextView,noti_body
custom_notification2,TextView,noti_button
init,ImageView,imgViewPrey2
init,ImageView,imgViewPrey
init,TextView,textView1
init,TextView,textView2
init,TextView,textView3
init,TextView,textView4
init,TextView,textView5
init,Button,buttonActivate
custom_notification1,ImageView,image_pic
custom_notification1,ImageView,noti_prey_logo
custom_notification1,TextView,noti_title
custom_notification1,TextView,noti_body
custom_notification1,TextView,noti_button
signup,TextView,textViewInit1
signup,TextView,textViewInit2
signup,TextView,linkSignup
signup,TextView,text_linear_confirm_over
signup,TextView,text_linear_agree_terms_condition
signup,EditText,editTextName
signup,EditText,editTextEmailAddress
signup,EditText,editTextPassword
signup,Button,buttonSignup
signup,CheckBox,checkBox_linear_agree_terms_condition
signup,CheckBox,checkBox_linear_confirm_over
simple_camera2,TextView,pre_report_title
simple_camera2,SurfaceView,surfaceView1
set_password,ScrollView,ScrollView01
set_password,EditText,old_password
set_password,EditText,password
set_password,EditText,password_confirm
permission_information_error2,ImageView,imgViewPrey2
permission_information_error2,ImageView,imgViewPrey
permission_information_error2,TextView,textView1
permission_information_error2,TextView,textView2
permission_information_error2,TextView,textView3
permission_information_error2,Button,buttonActivate
dialog_signin,EditText,feedback_form_field_comment
lock_android7,ImageView,ImageView_Lock_AccessDenied
lock_android7,TextView,TextView_Lock_AccessDenied
lock_android7,EditText,EditText_Lock_Password
lock_android7,Button,Button_Lock_Unlock
