XML_file_name,View_name,Resource_name
dashboard_tile,View,tile_divider
dashboard_tile,ImageView,icon
dashboard_tile,com.achep.base.ui.widgets.TextView,title
dashboard_tile,com.achep.base.ui.widgets.TextView,status
main,item,test_action
main,item,settings_action
main,item,donate_action
main,item,intro_action
main,item,feedback_action
main,item,about_action
main,item,help_action
blacklist,item,show_system_apps
widget_picker,item,configure_action
widget_picker,item,clear_action
widget_picker,item,touchable
activity_widget_picker,com.achep.base.ui.widgets.TextView,empty
activity_widget_picker,com.melnykov.fab.FloatingActionButton,fab
activity_widget_picker,com.melnykov.fab.ObservableScrollView,scrollview
activity_widget_picker,FrameLayout,appwidget_container
activity_widget_picker,include,panel
main_content,fragment,acdisplay_fragment
pb_acdisplay_divider,item,oid:id/background
pb_acdisplay_divider,item,oid:id/secondaryProgress
pb_acdisplay_divider,item,oid:id/progress
acdisplay_scene_clock,com.achep.acdisplay.ui.widgets.TimeView,time
dialog_donate_placeholder,ProgressBar,progress
dialog_donate_placeholder,com.achep.base.ui.widgets.TextView,empty
dashboard_category,com.achep.base.ui.widgets.TextView,category_title
dashboard_category,com.achep.base.ui.widgets.DashboardLayout,category_content
item_blah,ImageView,icon
item_blah,com.achep.base.ui.widgets.TextView,title
item_blah,com.achep.base.ui.widgets.TextView,summary
preference_dialog_timeout,com.achep.base.ui.widgets.TextView,normal_timeout_title
preference_dialog_timeout,com.achep.base.ui.widgets.TextView,normal_timeout_value
preference_dialog_timeout,com.achep.base.ui.widgets.TextView,short_timeout_title
preference_dialog_timeout,com.achep.base.ui.widgets.TextView,short_timeout_value
preference_dialog_timeout,SeekBar,normal_timeout_seekbar
preference_dialog_timeout,SeekBar,short_timeout_seekbar
appwidget_toggle_layout,ImageView,icon
appwidget_toggle_layout,TextView,title
notification,RelativeLayout,content
notification,com.achep.acdisplay.ui.widgets.notification.NotificationActions,actions
notification,com.achep.acdisplay.ui.widgets.notification.NotificationIcon,icon
notification,com.achep.base.ui.widgets.TextView,title
notification,com.achep.base.ui.widgets.TextView,when
notification,com.achep.base.ui.widgets.TextView,subtext
notification,com.achep.acdisplay.ui.widgets.notification.NotificationMessages,message_container
layout_appwidget_size,com.achep.base.ui.widgets.TextView,appwidget_width_label
layout_appwidget_size,com.achep.base.ui.widgets.TextView,appwidget_height_label
layout_appwidget_size,SeekBar,appwidget_width_seek_bar
layout_appwidget_size,SeekBar,appwidget_height_seek_bar
fragment_blacklist_app_config,ScrollView,scrollview
fragment_blacklist_app_config,ImageView,icon
fragment_blacklist_app_config,LinearLayout,container
fragment_blacklist_app_config,com.achep.base.ui.widgets.TextView,title
fragment_blacklist_app_config,com.achep.base.ui.widgets.TextView,summary
acdisplay_scene_host,com.achep.base.ui.widgets.TextView,empty
preference_dialog_inactive_hours,android.support.v7.widget.AppCompatCheckBox,checkbox
preference_dialog_inactive_hours,LinearLayout,content
preference_dialog_inactive_hours,com.achep.base.ui.widgets.TextView,from
preference_dialog_inactive_hours,com.achep.base.ui.widgets.TextView,to
widget_status,com.achep.acdisplay.ui.widgets.DateView,date
widget_status,com.achep.acdisplay.ui.widgets.status.BatteryMeterView,battery
sku,FrameLayout,cost
sku,com.achep.base.ui.widgets.TextView,description
sku,me.grantland.widget.AutofitTextView,price
sku,me.grantland.widget.AutofitTextView,currency
sku,ImageView,done
snake_fragment,com.achep.snake.GameView,game_view
snake_fragment,LinearLayout,score_panel
snake_fragment,com.achep.snake.ControllerView,game_controller
snake_fragment,com.achep.base.ui.widgets.TextView,score
snake_fragment,ImageButton,up
snake_fragment,ImageButton,down
snake_fragment,ImageButton,left
snake_fragment,ImageButton,right
preference_header_item,ImageView,icon
acdisplay_scene_notification,include,notification
feedback_component_read_help,android.support.v7.widget.AppCompatButton,faq
preference_blacklist_app_config,ImageView,icon
preference_blacklist_app_config,android.support.v7.widget.AppCompatCheckBox,checkbox
acdisplay_scene_music,LinearLayout,metadata
acdisplay_scene_music,LinearLayout,seek_layout
acdisplay_scene_music,com.achep.base.ui.widgets.TextView,media_title
