XML_file_name,View_name,Resource_name
serie_menu,item,refresh
alarms_menu,item,refresh
locale_menu,item,menu_discard_changes
mainmenu,item,refresh
mainmenu,item,share
mainmenu,item,test
mainmenu,item,custom_ref
mainmenu,item,graph
mainmenu,item,rawstats
mainmenu,item,preferences
mainmenu,item,about
mainmenu,item,help
permissions_menu,item,legend
kernelwakelocks_menu,item,refresh
pager_item,TextView,item_subtitle
pager_item,TextView,item_title
package_info_row,LinearLayout,LayoutName
package_info_row,LinearLayout,LayoutDescription
package_info_row,TextView,TextViewName
package_info_row,TextView,TextViewDescription
package_info_row,TextView,TextViewPermission
text_widget_legend,LinearLayout,layoutLegendValues
text_widget_legend,TextView,textViewSince
text_widget_legend,TextView,textViewDeepSleep
text_widget_legend,TextView,textViewScreenOn
text_widget_legend,TextView,textViewAwake
text_widget_legend,TextView,textViewKWL
text_widget_legend,TextView,textViewPWL
text_widget_legend,TextView,textViewSinceVal
text_widget_legend,TextView,textViewDeepSleepVal
text_widget_legend,TextView,textViewScreenOnVal
text_widget_legend,TextView,textViewAwakeVal
text_widget_legend,TextView,textViewKWLVal
text_widget_legend,TextView,textViewPWLVal
import_export_prefs,TextView,textView1
import_export_prefs,Button,buttonExport
import_export_prefs,Button,buttonImport
about,TextView,textView1
about,TextView,textViewEdition
about,TextView,textViewVersion
about,TextView,textView2
about,ImageView,imageView4
about,Button,buttonCredits
about,Button,buttonChangelog
about,Button,buttonTwitter
about,Button,buttonRate
about,Button,buttonXDA
widget_vert,RelativeLayout,layout
widget_vert,RelativeLayout,layoutImages
widget_vert,LinearLayout,layoutLegend
widget_vert,ImageView,imageView1
widget_vert,ImageView,imageViewRefresh
credits_row,TextView,textViewName
credits_row,TextView,textViewAuthor
credits_row,TextView,textViewLicense
widget,ImageView,imageView1
credits,ListView,oid:id/list
package_info,FrameLayout,sample_content_fragment
widget_horz,RelativeLayout,layout
widget_horz,ImageView,imageView1
widget_horz,LinearLayout,layoutLegend
graph_row,TextView,textViewTitle
graph_row,com.asksven.betterbatterystats.widgets.GraphableBarsPlot,Timeline
text_widget_horz,TextView,stat_type
text_widget_horz,LinearLayout,layout
text_widget_horz,LinearLayout,layoutLegend
packageinfo,LinearLayout,FrameLayoutSince
packageinfo,FrameLayout,FrameLayout1
packageinfo,FrameLayout,FrameLayout2
packageinfo,FrameLayout,FrameLayoutOnly4_3
packageinfo,ImageView,icon
packageinfo,TextView,TextViewPName
packageinfo,TextView,TextViewOnly43
packageinfo,Button,buttonSettings
packageinfo,Button,ButtonAppOps
stats,LinearLayout,Header
stats,LinearLayout,Notification
stats,LinearLayout,LayoutSpinners
stats,android.support.v4.widget.SwipeRefreshLayout,swiperefresh
stats,Spinner,spinnerStat
stats,Spinner,spinnerStatType
stats,Spinner,spinnerStatSampleEnd
stats,FrameLayout,FrameLayoutSince
stats,ImageView,icon
stats,TextView,TextViewNotification
stats,TextView,TextViewSince
stats,ListView,oid:id/list
dialog_rate,TextView,dialog_title
dialog_rate,Button,buttonRate
dialog_rate,Button,buttonRemind
dialog_rate,Button,buttonNoThanks
stat_row,ImageView,icon
stat_row,LinearLayout,LayoutIcon
stat_row,LinearLayout,LinearLayout02
stat_row,LinearLayout,LinearLayoutGauge
stat_row,LinearLayout,LinearLayoutFqn
stat_row,LinearLayout,LinearLayout03
stat_row,TextView,TextViewName
stat_row,TextView,TextViewFqn
