XML_file_name,View_name,Resource_name
activity_new_backup,android.support.v7.widget.Toolbar,my_toolbar
activity_new_backup,ScrollView,date_pickers_scroll_view
activity_new_backup,TextView,text_piker_from
activity_new_backup,TextView,text_piker_to
activity_new_backup,DatePicker,date_picker_from
activity_new_backup,DatePicker,date_picker_to
activity_new_backup,Switch,switch_only_starred_items
activity_new_backup,Switch,switch_reverse_sort
activity_new_backup,Button,export_button
activity_new_backup,View,my_toolbar_shadow
activity_new_backup,HorizontalScrollView,date_pickers_scroll_view
menu_editor,item,action_share
menu_editor,item,action_star
menu_editor,item,action_cancel
menu_editor,item,action_delete
menu_main,item,action_search
menu_main,item,action_star
menu_main,item,action_delete_all
menu_main,item,action_export
menu_main,item,action_settings
menu_main,group,menu_group
activity_main_card,FrameLayout,main_frame
activity_main_card,LinearLayout,main_background_view
activity_main_card,LinearLayout,main_view
activity_main_card,TextView,activity_main_card_date
activity_main_card,TextView,activity_main_card_time
activity_main_card,TextView,activity_main_card_text
activity_main_card,ImageButton,activity_main_card_share_button
activity_main_card,ImageButton,activity_main_card_star_button
activity_main,android.support.v7.widget.Toolbar,my_toolbar
activity_main,RelativeLayout,background_view
activity_main,ImageButton,main_fab
activity_main,LinearLayout,recycler_layout
activity_main,View,my_toolbar_shadow
menu_backup,item,action_refresh
background_fab,solid,fab_color
background_fab,solid,fab_color
app_widget_card,RelativeLayout,widget_card_click_edit
app_widget_card,RelativeLayout,widget_card_click_star
app_widget_card,TextView,widget_card_date
app_widget_card,TextView,widget_card_text
app_widget_card,TextView,widget_card_time
app_widget_card,ImageView,widget_card_star
notification_clip,ImageView,icon
notification_clip,ImageView,star
notification_clip,LinearLayout,main_view
notification_clip,LinearLayout,clip_line
notification_clip,LinearLayout,notification_list
notification_clip,TextView,current_clip
notification_clip,ImageButton,clip_share_button
activity_backup,android.support.v7.widget.Toolbar,my_toolbar
activity_backup,View,my_toolbar_shadow
activity_backup,Button,new_backup
activity_backup,LinearLayout,backup_list
activity_main_dialog,android.support.v7.widget.Toolbar,my_toolbar
activity_main_dialog,View,my_toolbar_shadow
activity_main_dialog,RelativeLayout,background_view
activity_main_dialog,LinearLayout,recycler_layout
activity_main_dialog,ImageButton,main_fab
activity_backup_card,LinearLayout,backup_content
activity_backup_card,ImageButton,action_delete
activity_backup_card,TextView,date
activity_backup_card,TextView,size
floating_window,ImageView,main_fab
notification_clip_card,LinearLayout,each_item
notification_clip_card,ImageView,notification_item_down_line
notification_clip_card,TextView,clip_text
notification_clip_card,ImageButton,clip_copy_button
activity_editor,android.support.v7.widget.Toolbar,my_toolbar
activity_editor,View,divider
activity_editor,EditText,edit_text
activity_editor,ImageButton,main_fab
activity_setting,android.support.v7.widget.Toolbar,my_toolbar
activity_setting,FrameLayout,content_wrapper
activity_setting,View,my_toolbar_shadow
app_widget,ListView,widget_main_view
app_widget,TextView,widget_title_text
app_widget,ImageButton,widget_title_star
app_widget,ImageButton,widget_title_add
background_default_ripple_with_mask,item,oid:id/mask
