XML_file_name,View_name,Resource_name
capture,SurfaceView,preview_view
capture,com.google.zxing.client.android.ViewfinderView,viewfinder_view
capture,LinearLayout,result_view
capture,LinearLayout,result_button_view
capture,TextView,status_view
capture,TextView,format_text_view
capture,TextView,type_text_view
capture,TextView,time_text_view
capture,TextView,meta_text_view_label
capture,TextView,meta_text_view
capture,TextView,contents_text_view
capture,TextView,contents_supplement_text_view
capture,ImageView,barcode_image_view
capture,item,menu_share
capture,item,menu_history
capture,item,menu_settings
capture,item,menu_help
history,item,menu_history_send
history,item,menu_history_clear_text
encode,item,menu_share
encode,item,menu_encode
encode,ImageView,image_view
encode,TextView,contents_text_view
share,EditText,share_text_view
share,Button,share_app_button
share,Button,share_bookmark_button
share,Button,share_contact_button
share,Button,share_clipboard_button
search_book_contents,ListView,result_list_view
search_book_contents,EditText,query_text_view
search_book_contents,Button,query_button
app_picker_list_item,ImageView,app_picker_list_item_icon
app_picker_list_item,TextView,app_picker_list_item_label
bookmark_picker_list_item,TextView,bookmark_title
bookmark_picker_list_item,TextView,bookmark_url
search_book_contents_list_item,TextView,page_number_view
search_book_contents_list_item,TextView,snippet_view
history_list_item,TextView,history_title
history_list_item,TextView,history_detail
