XML_file_name,View_name,Resource_name
main_drawer,View,drawer_status_bar
main_drawer,View,nav_bar_seperator
main_drawer,include,header
main_drawer,LinearLayout,logoutLayout
main_drawer,ListView,drawer_list
main_drawer,RelativeLayout,second_profile
main_drawer,Button,logoutButton
main_drawer,com.klinker.android.twitter.views.NetworkedCacheableImageView,profile_pic_2
main_drawer,com.klinker.android.twitter.views.text.HoloTextView,name_2
main_drawer,com.klinker.android.twitter.views.text.HoloTextView,screen_name_2
twitter_lists_page,include,right_drawer
twitter_lists_page,include,left_drawer
twitter_lists_page,View,activity_status_bar
twitter_lists_page,LinearLayout,list_progress
twitter_lists_page,LinearLayout,no_content
twitter_lists_page,org.lucasr.smoothie.AsyncListView,listView
retweets_activity,include,right_drawer
retweets_activity,include,left_drawer
retweets_activity,LinearLayout,list_progress
retweets_activity,LinearLayout,no_content
retweets_activity,org.lucasr.smoothie.AsyncListView,listView
retweets_activity,View,activity_status_bar
main_activity,include,right_drawer
main_activity,include,left_drawer
main_activity,android.support.v4.view.ViewPager,pager
main_activity,View,activity_status_bar
main_activity,LinearLayout,send_layout
main_activity,ImageButton,send_button
main_activity,item,menu_dismiss
main_activity,item,menu_search
main_activity,item,menu_compose
main_activity,item,menu_notifications
main_activity,item,menu_direct_message
main_activity,item,menu_settings
main_activity,item,menu_to_first
main_activity,item,menu_tweetmarker
main_activity,item,menu_get_help
user_header,com.klinker.android.twitter.views.NetworkedCacheableImageView,background_image
user_header,View,divider
user_header,ImageButton,options
trends_activity,include,right_drawer
trends_activity,include,left_drawer
trends_activity,View,activity_status_bar
trends_activity,android.support.v4.view.ViewPager,pager
trends_activity,android.support.v4.view.PagerTitleStrip,pager_title_strip
profile_activity,item,menu_tweet
profile_activity,item,menu_follow
profile_activity,item,menu_unfollow
profile_activity,item,menu_favorite
profile_activity,item,menu_unfavorite
profile_activity,item,menu_block
profile_activity,item,menu_unblock
profile_activity,item,menu_add_to_list
profile_activity,item,menu_dm
profile_activity,item,menu_change_picture
profile_activity,item,menu_change_banner
profile_activity,item,menu_change_bio
profile_activity,item,menu_mute
profile_activity,item,menu_unmute
profile_activity,item,menu_mute_rt
profile_activity,item,menu_unmute_rt
compose_activity,item,menu_save_draft
compose_activity,item,menu_view_drafts
compose_activity,item,menu_view_queued
compose_activity,item,menu_schedule_tweet
compose_activity,LinearLayout,send_button
compose_activity,LinearLayout,accounts
compose_activity,com.klinker.android.twitter.views.text.HoloTextView,reply_to
compose_activity,com.klinker.android.twitter.views.text.HoloTextView,current_name
compose_activity,EditText,tweet_content
compose_activity,View,prompt_pos
compose_activity,TextView,char_remaining
compose_activity,ImageButton,discard_button
compose_activity,ImageButton,overflow_button
compose_activity,ImageButton,gif
compose_activity,ImageButton,attach
compose_activity,ImageButton,location
compose_activity,ImageButton,emoji
compose_activity,ImageButton,at_button
