XML_file_name,View_name,Resource_name
preferences,Preference,about_app
whats_new_activity,androidx.viewpager.widget.ViewPager,contentPanel
whats_new_activity,androidx.appcompat.widget.AppCompatButton,skip
whats_new_activity,com.owncloud.android.ui.whatsnew.ProgressIndicator,progressIndicator
whats_new_activity,ImageButton,forward
log_menu,item,menu_search
log_menu,item,menu_logcat
sort_menu,group,sort_group
sort_menu,item,action_sort_descending
sort_menu,item,action_sort_by_name
sort_menu,item,action_sort_by_date
sort_menu,item,action_sort_by_size
upload_list_menu,item,action_retry_uploads
upload_list_menu,item,action_clear_failed_uploads
upload_list_menu,item,action_clear_successfull_uploads
upload_list_menu,item,action_clear_finished_uploads
file_actions_menu,item,file_action_select_all
file_actions_menu,item,action_select_inverse
file_actions_menu,item,action_share_file
file_actions_menu,item,action_download_file
file_actions_menu,item,action_sync_file
file_actions_menu,item,action_cancel_sync
file_actions_menu,item,action_set_available_offline
file_actions_menu,item,action_unset_available_offline
file_actions_menu,item,action_open_file_with
file_actions_menu,item,action_send_file
file_actions_menu,item,action_move
file_actions_menu,item,action_copy
file_actions_menu,item,action_rename_file
file_actions_menu,item,action_see_details
file_actions_menu,item,action_remove_file
drawer_menu,group,drawer_menu_accounts
drawer_menu,group,drawer_menu_standard
drawer_menu,group,drawer_menu_settings_etc
drawer_menu,item,drawer_menu_account_add
drawer_menu,item,drawer_menu_account_manage
drawer_menu,item,footer_spacer_3
drawer_menu,item,footer_spacer_4
drawer_menu,item,nav_all_files
drawer_menu,item,nav_uploads
drawer_menu,item,nav_only_available_offline
drawer_menu,item,nav_shared_by_link_files
drawer_menu,item,nav_settings
drawer_menu,item,drawer_menu_feedback
drawer_menu,item,drawer_menu_help
drawer_menu,item,footer_spacer_1
drawer_menu,item,footer_spacer_2
main_menu,item,action_search
main_menu,item,action_select_all
main_menu,item,action_create_dir
main_menu,item,action_sync_account
main_menu,item,action_sort
main_menu,item,action_switch_view
drawer,com.google.android.material.navigation.NavigationView,nav_view
drawer,ImageView,drawer_logo
drawer,ProgressBar,account_quota_bar
drawer,TextView,account_quota_text
activity_pattern_lock,TextView,header_pattern
activity_pattern_lock,TextView,explanation_pattern
activity_pattern_lock,com.andrognito.patternlockview.PatternLockView,pattern_lock_view
activity_pattern_lock,androidx.appcompat.widget.AppCompatButton,cancel_pattern
account_setup,ImageView,login_background_image
account_setup,ImageView,thumbnail
account_setup,LinearLayout,ottom_block
account_setup,LinearLayout,LinearLayout1
account_setup,ScrollView,scroll
account_setup,androidx.appcompat.widget.AppCompatButton,centeredRefreshButton
account_setup,androidx.appcompat.widget.AppCompatButton,loginButton
account_setup,Button,welcome_link
account_setup,TextView,instructions_message
account_setup,TextView,server_status_text
account_setup,TextView,auth_status_text
account_setup,FrameLayout,hostUrlFrame
account_setup,EditText,account_username
account_setup,EditText,account_password
account_setup,EditText,hostUrlInput
account_setup,ImageButton,embeddedCheckServerButton
account_setup,ImageButton,embeddedRefreshButton
top_progress_bar_determinate,item,oid:id/background
top_progress_bar_determinate,item,oid:id/secondaryProgress
top_progress_bar_determinate,item,oid:id/progress
activity_manage_space,TextView,general_description
activity_manage_space,androidx.appcompat.widget.AppCompatButton,clearDataButton
account_item,ImageView,icon
account_item,ImageView,ticker
account_item,ImageView,passwordButton
account_item,ImageView,removeButton
account_item,TextView,name
account_item,TextView,account
files,LinearLayout,ListLayout
files,FrameLayout,left_fragment_container
files,FrameLayout,right_fragment_container
video_layout,VideoView,videoPlayer
search_users_groups_layout,androidx.appcompat.widget.SearchView,searchView
search_users_groups_layout,ListView,searchUsersListView
uploader_layout,LinearLayout,upload_files_layout
uploader_layout,LinearLayout,upload_actions
uploader_layout,FrameLayout,upload_list
uploader_layout,ListView,oid:id/list
uploader_layout,androidx.appcompat.widget.AppCompatButton,uploader_cancel
uploader_layout,androidx.appcompat.widget.AppCompatButton,uploader_choose_folder
preview_text_fragment,TextView,text_preview
accounts_layout,ListView,account_list
share_public_link_item,TextView,publicLinkName
share_public_link_item,ImageView,getPublicLinkButton
share_public_link_item,ImageView,deletePublicLinkButton
share_public_link_item,ImageView,editPublicLinkButton
generic_explanation,TextView,message
generic_explanation,ListView,list
generic_explanation,LinearLayout,buttons
generic_explanation,Button,cancel
generic_explanation,Button,ok
uploader_list_item_layout,ImageView,thumbnail
uploader_list_item_layout,TextView,filename
uploader_list_item_layout,TextView,file_size
uploader_list_item_layout,TextView,file_separator
uploader_list_item_layout,TextView,last_mod
files_folder_picker,FrameLayout,fragment_container
files_folder_picker,androidx.appcompat.widget.AppCompatButton,folder_picker_btn_cancel
files_folder_picker,androidx.appcompat.widget.AppCompatButton,folder_picker_btn_choose
files_folder_picker,ImageButton,folder_picker_btn_home
list_footer,TextView,footerText
custom_playback_control,ImageButton,xo_prev
custom_playback_control,ImageButton,xo_rew
custom_playback_control,ImageButton,xo_play
custom_playback_control,ImageButton,xo_pause
custom_playback_control,ImageButton,xo_ffwd
custom_playback_control,ImageButton,fullscreen_button
custom_playback_control,ImageButton,exit_fullscreen_button
custom_playback_control,TextView,xo_position
custom_playback_control,TextView,xo_duration
custom_playback_control,SeekBar,xo_progress
media_control,ImageButton,rewindBtn
media_control,ImageButton,playBtn
media_control,ImageButton,forwardBtn
media_control,TextView,currentTimeText
media_control,TextView,totalTimeText
media_control,SeekBar,progressBar
video_preview,com.google.android.exoplayer2.ui.SimpleExoPlayerView,video_player
grid_image,com.owncloud.android.ui.SquareImageView,thumbnail
grid_image,ImageView,sharedIcon
grid_image,ImageView,localFileIndicator
grid_image,ImageView,custom_checkbox
upload_list_layout,FrameLayout,upload_list_fragment
top_progress_bar,ProgressBar,syncProgressBar
top_progress_bar,View,shadow_view
item_file_list,androidx.constraintlayout.widget.ConstraintLayout,icon_constraint_layout
item_file_list,androidx.constraintlayout.widget.ConstraintLayout,info_constraint_layout
item_file_list,androidx.constraintlayout.widget.ConstraintLayout,options_constraint_layout
item_file_list,ImageView,thumbnail
item_file_list,ImageView,localFileIndicator
item_file_list,ImageView,sharedIcon
item_file_list,ImageView,custom_checkbox
item_file_list,TextView,Filename
item_file_list,TextView,file_list_size
item_file_list,TextView,file_list_separator
item_file_list,TextView,file_list_last_mod
item_file_list,TextView,file_list_path
alert_dialog_list_view,ListView,list
fingerprint_dialog,TextView,fingerprintDescription
fingerprint_dialog,TextView,fingerprintStatus
fingerprint_dialog,LinearLayout,fingerprintTouch
fingerprint_dialog,androidx.appcompat.widget.AppCompatButton,fingerprintCancelButton
fingerprint_dialog,ImageView,fingerprintIcon
grid_item,TextView,Filename
grid_item,ImageView,thumbnail
grid_item,ImageView,sharedIcon
grid_item,ImageView,localFileIndicator
grid_item,ImageView,custom_checkbox
file_details_fragment,RelativeLayout,fileDetailsLayout
file_details_fragment,RelativeLayout,fdFileHeaderContainer
file_details_fragment,RelativeLayout,fdDetailsContainer
file_details_fragment,RelativeLayout,fdLabelContainer
file_details_fragment,RelativeLayout,fdValueContainer
file_details_fragment,ImageView,fdIcon
file_details_fragment,TextView,fdFilename
file_details_fragment,TextView,fdProgressText
file_details_fragment,TextView,fdTypeLabel
file_details_fragment,TextView,fdSizeLabel
