XML_file_name,View_name,Resource_name
navigation_drawer,item,whats_new
navigation_drawer,item,add_language
navigation_drawer,item,show_tips
navigation_drawer,item,feedback
navigation_drawer,item,about
base_document_activity_options,item,item_camera
base_document_activity_options,item,item_gallery
grid_action_mode,item,item_edit_title
grid_action_mode,item,item_join
grid_action_mode,item,item_export_as_pdf
grid_action_mode,item,item_delete
tts_action_mode,item,item_play
tts_action_mode,item,item_stop
tts_action_mode,item,item_tts_settings
document_activity_options,item,item_text_options
document_activity_options,item,item_content
document_activity_options,item,item_delete
progress_horizontal_fairylightdarkactionbar,item,oid:id/background
progress_horizontal_fairylightdarkactionbar,item,oid:id/secondaryProgress
progress_horizontal_fairylightdarkactionbar,item,oid:id/progress
dialog_fairy_helping,include,help_header
dialog_fairy_helping,WebView,webView_help
dialog_progress,ProgressBar,progressBar1
dialog_progress,TextView,message
activity_ocr_language,include,toolbar
activity_ocr_language,ViewSwitcher,viewSwitcher_language_list
activity_ocr_language,ProgressBar,progressBar1
activity_ocr_language,ListView,list_ocr_languages
item_list_table_of_contents_element,TextView,text
item_list_table_of_contents_element,TextView,date
item_list_table_of_contents_element,TextView,page_number
activity_text_options,include,toolbar
activity_text_options,TextView,preview_text
activity_text_options,TextView,line_spacing_text
activity_text_options,TextView,alignment_text
activity_text_options,ScrollView,pref_container
activity_text_options,RadioGroup,line_spacing
activity_text_options,RadioGroup,text_alignment
activity_text_options,Button,button_ok
activity_text_options,RadioButton,spacing_1
activity_text_options,RadioButton,spacing_1.5
activity_text_options,RadioButton,spacing_2
activity_text_options,RadioButton,align_left
activity_text_options,RadioButton,align_block
activity_help,include,toolbar
activity_help,TextView,explanation_text
activity_help,fragment,youtube_fragment
fragment_document_pager,com.renard.ocr.documents.viewing.single.HackyViewPager,document_pager
fragment_document_pager,com.viewpagerindicator.CirclePageIndicator,titles
activity_document,include,bottom_sheet
activity_document,include,toolbar
activity_document,FrameLayout,document_fragment_container
activity_document_grid,android.support.design.widget.NavigationView,left_drawer
activity_document_grid,include,toolbar
activity_document_grid,include,empty_view
activity_document_grid,com.renard.ocr.documents.viewing.grid.FancyGridView,gridview
item_list_ocr_language,TextView,textView_language
item_list_ocr_language,TextView,download_language
item_list_ocr_language,TextView,delete_language
item_list_ocr_language,ViewFlipper,viewFlipper
item_list_ocr_language,ProgressBar,progressBar
activity_beta_test,include,toolbar
activity_beta_test,TextView,textView_join_community
activity_beta_test,TextView,textView_become_tester
view_text_to_speech_controls,ViewFlipper,view_flipper_buttons
view_text_to_speech_controls,TextView,button_language
view_text_to_speech_controls,ImageButton,button_speak_text
view_text_to_speech_controls,ImageButton,button_stop_speaking
dialog_ocr_result,TextView,help_header
dialog_ocr_result,TextView,explanation_text
dialog_ocr_result,View,divider0
dialog_ocr_result,View,divider1
dialog_ocr_result,View,divider2
dialog_ocr_result,View,divider3
dialog_ocr_result,View,divider4
dialog_ocr_result,View,divider5
dialog_ocr_result,View,divider6
dialog_ocr_result,Button,button_show_tips
dialog_ocr_result,Button,button_send_feedback
dialog_ocr_result,Button,button_share_text
dialog_ocr_result,Button,button_copy_to_clipboard
dialog_ocr_result,Button,button_export_pdf
activity_cropimage,include,toolbar
activity_cropimage,com.renard.ocr.documents.creation.crop.CropImageView,cropImageView
activity_cropimage,LinearLayout,toolbar_bottom
activity_cropimage,ImageButton,item_rotate_right
activity_cropimage,ImageButton,item_rotate_left
activity_cropimage,ImageButton,item_save
activity_contact,include,toolbar
activity_contact,ImageView,imageView1
activity_contact,TextView,textView1
activity_contact,TextView,textView_send_mail
activity_contact,View,view1
item_grid_document_element,TextView,title
item_grid_document_element,TextView,date
item_grid_document_element,TextView,page_number
item_grid_document_element,ImageView,thumb
activity_privacy_policy,include,toolbar
activity_privacy_policy,WebView,webview
activity_privacy_policy,TextView,tacking_label
activity_privacy_policy,android.support.v7.widget.SwitchCompat,tracking_toggle
fragment_document_image,uk.co.senab.photoview.PhotoView,imageView
fragment_document_image,ProgressBar,progress
fragment_document_text,com.renard.ocr.documents.viewing.single.tts.TextToSpeechControls,text_to_speech_controls
fragment_document_text,EditText,editText_document
layout_document_actions,FrameLayout,expand_collapse_button
layout_document_actions,LinearLayout,bottom_sheet
layout_document_actions,ImageView,expand_collapse_icon
layout_document_actions,ViewSwitcher,view_mode_switcher
layout_document_actions,TextView,share_text
layout_document_actions,TextView,copy_to_clipboard
layout_document_actions,TextView,translate
layout_document_actions,TextView,pdf
layout_document_actions,TextView,switch_view_to_image
layout_document_actions,TextView,switch_view_to_text
empty_document_grid,View,gallery_hint_arrow
empty_document_grid,View,camera_hint_arrow
empty_document_grid,TextView,greeting
empty_document_grid,TextView,camera_hint
empty_document_grid,TextView,gallery_hint
empty_document_grid,TextView,install_language
empty_document_grid,TextView,fairy_hint
empty_document_grid,Button,install_language_button
dialog_layout_question,RelativeLayout,fairy_animation
dialog_layout_question,ViewFlipper,layout_title
dialog_layout_question,LinearLayout,layout_container
dialog_layout_question,TextView,textview_ocr_language
dialog_layout_question,Spinner,button_language
dialog_layout_question,ImageView,column_layout
dialog_layout_question,ImageView,page_layout
dialog_layout_question,ImageSwitcher,fairy_layout
