XML_file_name,View_name,Resource_name
lane,include,tweet_feed_loading
lane,RelativeLayout,tweet_feed_loaded
lane,com.tweetlanes.android.core.widget.pulltorefresh.PullToRefreshListView,pull_to_refresh_listview
lane,TextView,list_heading
lane,ImageView,list_hide
multiple_tweets_selected,item,action_favorite
multiple_tweets_selected,item,action_manage_friendship
multiple_tweets_selected,item,action_block
multiple_tweets_selected,item,action_report_for_spam
default_action_bar,item,action_search
tweet_feed_action_bar,item,action_search
home_tweet_feed_action_bar,item,action_search
home_tweet_feed_action_bar,item,action_feed_filter
home_tweet_feed_action_bar,item,action_buy_alp
home_tweet_feed_action_bar,item,action_settings
home_tweet_feed_action_bar,item,action_replies_visibility
home_tweet_feed_action_bar,item,action_retweets_visibility
dm_selected,item,action_delete_status
tweet_spotlight_action_bar,item,action_retweet
tweet_spotlight_action_bar,item,action_favorite
compose_tweet_action_bar,item,action_camera
compose_tweet_action_bar,item,action_gallery
home_default_action_bar,item,action_search
home_default_action_bar,item,action_feed_filter
home_default_action_bar,item,action_buy_alp
home_default_action_bar,item,action_settings
home_default_action_bar,item,action_replies_visibility
home_default_action_bar,item,action_retweets_visibility
image_view_action_bar,item,action_website
image_view_action_bar,item,action_save
users_selected,item,action_block
users_selected,item,action_report_for_spam
single_tweet_selected,item,action_retweet
single_tweet_selected,item,action_favorite
single_tweet_selected,item,action_share
single_tweet_selected,item,action_block
single_tweet_selected,item,action_report_for_spam
single_tweet_selected,item,action_delete_status
profile_title,ImageView,profileImage
profile_title,TextView,screenname
profile_title,TextView,fullname
vpi_listtab,TextView,oid:id/text1
compose_tweet,ListView,autocompleteListView
compose_tweet,com.tweetlanes.android.core.widget.EditClearText,statusEditText
compose_tweet,ImageView,statusImage
compose_tweet,ImageButton,sendTweetButton
compose_tweet,TextView,characterCount
user_feed_item,LinearLayout,layout_view_parent
user_feed_item,LinearLayout,message_block
user_feed_item,LinearLayout,message_block
user_feed_item,view,avatar
user_feed_item,TextView,screen_name
user_feed_item,TextView,name
conversation_feed,RelativeLayout,conversation_feed_loading
conversation_feed,LinearLayout,conversation_feed_loaded
loading,ProgressBar,conversation_feed_loading
load_more,TextView,load_more_text
load_more,ProgressBar,load_more_progress
load_more,ImageView,load_more_image
credits,TextView,credits_oss_heading
credits,TextView,credits_oss_items
credits,TextView,credits_art_items
credits,TextView,credit_lacy_name
credits,TextView,credit_lacy_networks
credits,TextView,credit_fammy_name
credits,TextView,credit_fammy_networks
credits,TextView,credit_duffy_name
credits,TextView,credit_duffy_networks
credits,TextView,credit_blythmeister_name
credits,TextView,credit_blythmeister_networks
credits,ImageView,credit_lacy_pic
credits,ImageView,credit_fammy_pic
credits,ImageView,credit_duffy_pic
credits,ImageView,credit_blythmeister_pic
default_lanes_layout,RelativeLayout,view_loading
default_lanes_layout,LinearLayout,view_loaded
default_lanes_layout,LinearLayout,dummyFocusItem
default_lanes_layout,ProgressBar,conversation_feed_loading
default_lanes_layout,fragment,composeTweetFragment
default_lanes_layout,fragment,composeDirectMessageFragment
default_lanes_layout,com.tweetlanes.android.core.widget.viewpagerindicator.TabPageIndicator,tabPageIndicator
default_lanes_layout,android.support.v4.view.ViewPager,pager
default_lanes_layout,View,lane_mask
image_view,ProgressBar,imageViewLoading
image_view,com.tweetlanes.android.core.widget.gestureimageview.GestureImageView,image_view
image_view,TextView,errorTextView
tweet_feed_item_spotlight,TextView,status
tweet_feed_item_spotlight,TextView,full_date
tweet_feed_item_spotlight,TextView,tweet_details
tweet_feed_item_spotlight,TextView,authorName
tweet_feed_item_spotlight,TextView,authorScreenName
tweet_feed_item_spotlight,RelativeLayout,preview_spotlight_image_container
tweet_feed_item_spotlight,view,avatar
tweet_feed_item_spotlight,ImageView,status_indicator
tweet_feed_item_spotlight,ImageView,preview_spotlight_image_view
tweet_feed_item_spotlight,ImageView,preview_spotlight_image_play_view
tutorial_compose_tweet,TextView,textView1
tutorial_compose_tweet,TextView,textView2
tutorial_compose_tweet,TextView,textView3
tutorial_compose_tweet,TextView,textView4
tutorial_compose_tweet,ImageView,tutorial_compose_tweet_new
tutorial_compose_tweet,ImageView,tutorial_no_tweet_button
autocompletehashtag_row,TextView,autoCompleteHashtag
direct_message_feed_item_received,view,avatar
direct_message_feed_item_received,LinearLayout,message_block
direct_message_feed_item_received,LinearLayout,authorNames
direct_message_feed_item_received,RelativeLayout,author_block
direct_message_feed_item_received,TextView,status
direct_message_feed_item_received,TextView,pretty_date
direct_message_feed_item_received,TextView,authorScreenName
direct_message_feed_item_received,TextView,authorName
direct_message_feed_item_received,ImageView,replyIcon
tweet_feed_item_received,view,avatar
tweet_feed_item_received,LinearLayout,message_block
tweet_feed_item_received,LinearLayout,status_header
tweet_feed_item_received,LinearLayout,interactColumn
tweet_feed_item_received,TextView,status
tweet_feed_item_received,TextView,tweet_details
tweet_feed_item_received,TextView,pretty_date
tweet_feed_item_received,TextView,authorName
tweet_feed_item_received,TextView,authorScreenName
tweet_feed_item_received,RelativeLayout,preview_image_container_large
tweet_feed_item_received,RelativeLayout,preview_image_container
tweet_feed_item_received,ImageView,status_indicator
tweet_feed_item_received,ImageView,conversationToggle
tweet_feed_item_received,ImageView,preview_image_view_large
tweet_feed_item_received,ImageView,preview_image_play_view_large
tweet_feed_item_received,ImageView,preview_image_view
tweet_feed_item_received,ImageView,preview_image_play_view
profile_adn,TextView,bioTextView
profile_adn,TextView,location
profile_adn,TextView,link
profile_adn,TextView,fullNameTextView
profile_adn,TextView,followState
profile_adn,TextView,tweetCountLabel
profile_adn,TextView,followingCountLabel
profile_adn,TextView,followersCountLabel
profile_adn,TextView,favorites_count
profile_adn,LinearLayout,detailsLayout
profile_adn,LinearLayout,locationLayout
profile_adn,LinearLayout,linkLayout
profile_adn,ImageView,coverImage
profile_adn,ImageView,profileImage
profile_adn,ImageView,private_account_image
profile_adn,TableLayout,details_table_layout
profile_adn,View,friendship_divider
profile_adn,Button,friendship_button
actionbarspinner,ListView,listView
tutorial_welcome,TextView,bioTextView
tutorial_welcome,TextView,bioTextView
tutorial_welcome,TextView,textView1
tutorial_welcome,ImageView,imageView1
tutorial_multiple_selection,TextView,textView1
tutorial_multiple_selection,TextView,textView2
tutorial_multiple_selection,TextView,textView3
tutorial_multiple_selection,TextView,textView4
tutorial_multiple_selection,ImageView,imageView1
tutorial_multiple_selection,ImageView,imageView2
lane_customization_item,TextView,laneTitle
lane_customization_item,CheckBox,checkbox
new_account,TextView,textView1
new_account,TextView,textView2
new_account,TextView,textView3
new_account,TextView,textView4
new_account,ImageView,new_account_twitter_button
new_account,ImageView,new_account_adn_button
account_row,TextView,accountScreenName
account_row,TextView,filler
account_row,ImageView,accountAvatar
account_row,ImageView,serviceImage
twitter_auth_signin,WebView,twitter_auth_signin_webview
tutorial_spam_control,TextView,textView1
tutorial_spam_control,TextView,textView2
tutorial_spam_control,TextView,textView3
tutorial_spam_control,ImageView,imageView1
tutorial_spam_control,ImageView,imageView2
tutorial,com.tweetlanes.android.core.widget.viewpagerindicator.UnderlinePageIndicator,indicator
tutorial,android.support.v4.view.ViewPager,pager
tutorial_images,TextView,textView1
tutorial_images,TextView,textView2
tutorial_images,TextView,textView4
tutorial_images,ImageView,imageView1
tutorial_images,ImageView,imageView2
tutorial_images,ImageView,imageView3
autocompletemention_row,ImageView,autoCompleteAvatar
autocompletemention_row,TextView,autoCompleteScreenName
autocompletemention_row,TextView,autoCompleteFullName
loading_slim,RelativeLayout,relLayout1
loading_slim,ProgressBar,conversation_feed_loading
vpi__tab,TextView,oid:id/text1
profile,TextView,bioTextView
profile,TextView,location
profile,TextView,link
profile,TextView,fullNameTextView
profile,TextView,followState
profile,TextView,tweetCountLabel
profile,TextView,followingCountLabel
profile,TextView,followersCountLabel
profile,TextView,favorites_count
profile,LinearLayout,detailsLayout
profile,LinearLayout,locationLayout
profile,LinearLayout,linkLayout
profile,ImageView,profileImage
profile,ImageView,private_account_image
profile,TableLayout,details_table_layout
profile,View,friendship_divider
profile,Button,friendship_button
tweet_feed_conversation_item,RelativeLayout,conversation_left_column
tweet_feed_conversation_item,LinearLayout,message_block
