XML_file_name,View_name,Resource_name
confirmation_menu_layout,com.waz.zclient.ui.text.TypefaceTextView,ttv__confirmation__cancel
confirmation_menu_layout,com.waz.zclient.ui.text.TypefaceTextView,ttv__confirmation__confirm
single_input_box,FrameLayout,error_layout
single_input_box,com.waz.zclient.ui.text.TypefaceTextView,start_text
single_input_box,com.waz.zclient.ui.text.TypefaceTextView,error_text
single_input_box,com.waz.zclient.ui.text.TypefaceTextView,hint_text
single_input_box,ProgressBar,progress_bar
single_input_box,com.waz.zclient.ui.cursor.CursorEditText,edit_text
single_input_box,com.waz.zclient.common.views.GlyphButton,confirmation_button
voice_filter_grid,LinearLayout,ll__voice_filter__grid_container
voice_filter_grid,com.waz.zclient.pages.extendedcursor.voicefilter.WaveBinView,wbv__voice_filter
voice_filter_grid,FrameLayout,fl__voice_filter_time_hint__container
voice_filter_grid,com.waz.zclient.ui.text.TypefaceTextView,tv__track_time
voice_filter_grid,com.waz.zclient.ui.text.TypefaceTextView,tv__voice_filter__hint
fragment_preference_phone_number_verification,com.waz.zclient.ui.text.TypefaceTextView,tv__verification_description
fragment_preference_phone_number_verification,com.waz.zclient.ui.text.TypefaceTextView,tv__resend_button
fragment_preference_phone_number_verification,com.waz.zclient.ui.text.TypefaceTextView,tv__change_number_button
fragment_preference_phone_number_verification,com.waz.zclient.ui.text.TypefaceTextView,tv__back_button
fragment_preference_phone_number_verification,com.waz.zclient.ui.text.TypefaceTextView,tv__ok_button
fragment_preference_phone_number_verification,com.google.android.material.textfield.TextInputLayout,til__verification_code
fragment_preference_phone_number_verification,androidx.appcompat.widget.AppCompatEditText,et__verification_code__1
fragment_preference_phone_number_verification,androidx.appcompat.widget.AppCompatEditText,et__verification_code__2
fragment_preference_phone_number_verification,androidx.appcompat.widget.AppCompatEditText,et__verification_code__3
fragment_preference_phone_number_verification,androidx.appcompat.widget.AppCompatEditText,et__verification_code__4
fragment_preference_phone_number_verification,androidx.appcompat.widget.AppCompatEditText,et__verification_code__5
fragment_preference_phone_number_verification,androidx.appcompat.widget.AppCompatEditText,et__verification_code__6
voice_filter_control_record,LinearLayout,ll__voice_filter_hint_container
voice_filter_control_record,com.waz.zclient.pages.extendedcursor.voicefilter.WaveGraphView,wgv__voice_filter
voice_filter_control_record,com.waz.zclient.ui.text.TypefaceTextView,ttv__voice_filter__tap_to_record_1st_line
voice_filter_control_record,com.waz.zclient.ui.text.TypefaceTextView,ttv__voice_filter__tap_to_record_2nd_line_begin
voice_filter_control_record,com.waz.zclient.ui.text.TypefaceTextView,ttv__voice_filter__tap_to_record_2nd_line_end
voice_filter_control_filter,com.waz.zclient.ui.text.GlyphTextView,v__voice_re_record
voice_filter_control_filter,com.waz.zclient.ui.text.GlyphTextView,v__voice_approve
voice_filter_control_filter,com.waz.zclient.ui.text.GlyphTextView,v__voice_cancel
conversation_header_menu_collection_searching,item,action_collection
toolbar_close_white,item,close
toolbar_sketch,item,close
main_bottom_navigation_items,item,navigation_search
main_bottom_navigation_items,item,navigation_conversations
main_bottom_navigation_items,item,navigation_folders
main_bottom_navigation_items,item,navigation_archive
conversation_header_menu_collection,item,action_collection
toolbar_collection,item,close
conversation_header_menu_video,item,action_video_call
conversation_header_menu_video,item,action_audio_call
conversation_header_menu_audio,item,action_audio_call
fragment_single_image_collections,androidx.viewpager.widget.ViewPager,image_view_pager
fragment_participant,LinearLayout,ll__participant__container
fragment_participant,FrameLayout,fl__add_to_conversation__pickuser__container
fragment_participant,FrameLayout,fl__participant__overlay
fragment_participant,FrameLayout,fl__participant__settings_box
fragment_participant,FrameLayout,fl__participant__header__container
fragment_participant,FrameLayout,fl__participant__container
fragment_participants_header,androidx.appcompat.widget.Toolbar,t__participants__toolbar
fragment_participants_header,com.waz.zclient.ui.text.TypefaceTextView,participants__header
fragment_participants_header,com.waz.zclient.ui.text.TypefaceTextView,participants__header__username
fragment_participants_header,com.waz.zclient.ui.text.TypefaceTextView,confirmation_button
fragment_participants_header,com.waz.zclient.ui.text.GlyphTextView,close_button
view_team_tab,FrameLayout,team_icon_container
view_team_tab,RelativeLayout,team_name_container
view_team_tab,ImageView,team_icon
view_team_tab,com.waz.zclient.ui.views.CircleView,unread_indicator_icon
view_team_tab,com.waz.zclient.ui.views.CircleView,unread_indicator_text
view_team_tab,com.waz.zclient.ui.text.TypefaceTextView,team_name
preference_text_button,com.waz.zclient.ui.text.GlyphTextView,preference_icon_start
preference_text_button,com.waz.zclient.ui.text.GlyphTextView,preference_icon_end
preference_text_button,com.waz.zclient.ui.text.TypefaceTextView,preference_title
preference_text_button,com.waz.zclient.ui.text.TypefaceTextView,preference_subtitle
message_member_change_content,com.waz.zclient.messages.SystemMessageView,smv_header
layout_quick_reply_content,com.waz.zclient.ui.text.TypefaceTextView,ttv__quick_reply__content
message_missed_call_content,com.waz.zclient.ui.text.TypefaceTextView,tvMessage
