XML_file_name,View_name,Resource_name
sort_menu,item,byName
sort_menu,item,byLastPlayed
sort_menu,item,byAdded
book_category,item,sort
book_category,com.google.android.material.appbar.MaterialToolbar,toolbar
book_category,androidx.recyclerview.widget.RecyclerView,recyclerView
book_play,item,action_sleep
book_play,item,action_bookmark
book_play,item,action_time_lapse
book_play,item,action_equalizer
book_play,item,loudness
book_play,item,action_time_change
book_play,item,action_skip_silence
book_play,item,action_settings
book_play,androidx.constraintlayout.widget.Guideline,x50
book_play,androidx.constraintlayout.widget.Guideline,x75
book_play,androidx.constraintlayout.widget.Guideline,y50
book_play,com.google.android.material.appbar.MaterialToolbar,toolbar
book_play,ImageView,play
book_play,ImageView,rewind
book_play,ImageView,fastForward
book_play,ImageView,previous
book_play,ImageView,next
book_play,ImageView,cover
book_play,TextView,playedTime
book_play,TextView,maxTime
book_play,TextView,currentChapterText
book_play,TextView,timerCountdownView
book_play,com.google.android.material.slider.Slider,slider
book_play,View,gradientShadow
bookmark_popup,item,edit
bookmark_popup,item,delete
menu_settings,item,action_contribute
image_picker,item,refresh
image_picker,item,reset
image_picker,com.google.android.material.appbar.MaterialToolbar,toolbar
image_picker,ViewStub,cabStub
image_picker,LinearLayout,noNetwork
image_picker,FrameLayout,webViewContainer
image_picker,ProgressBar,progressBar
image_picker,WebView,webView
image_picker,de.ph1b.audiobook.features.imagepicker.CropOverlay,cropOverlay
image_picker,com.google.android.material.floatingactionbutton.FloatingActionButton,fab
crop_menu,item,confirm
book_overview,item,library
book_overview,item,toggleGrid
book_overview,item,action_settings
book_overview,com.google.android.material.appbar.MaterialToolbar,toolbar
book_overview,androidx.recyclerview.widget.RecyclerView,recyclerView
book_overview,ProgressBar,loadingProgress
book_overview,com.google.android.material.floatingactionbutton.FloatingActionButton,fab
selected_spinner_background,item,oid:id/mask
bookmark,com.google.android.material.appbar.MaterialToolbar,toolbar
bookmark,androidx.recyclerview.widget.RecyclerView,recycler
bookmark,com.google.android.material.floatingactionbutton.FloatingActionButton,addBookmarkFab
dialog_cover_edit,ProgressBar,coverReplacement
dialog_cover_edit,ImageView,coverImage
dialog_cover_edit,de.ph1b.audiobook.features.imagepicker.CropOverlay,cropOverlay
widget,ImageView,imageView
widget,ImageView,rewind
widget,ImageView,playPause
widget,ImageView,fastForward
widget,TextView,title
widget,TextView,summary
dialog_time_picker,NumberPicker,numberHour
dialog_time_picker,NumberPicker,numberMinute
dialog_time_picker,TextView,colon
activity_folder_overview_row_layout,ImageView,icon
activity_folder_overview_row_layout,ImageView,remove
activity_folder_overview_row_layout,TextView,textView
merge_setting_row_switch,androidx.appcompat.widget.SwitchCompat,switchSetting
merge_setting_row_switch,TextView,switchTitle
merge_setting_row_switch,TextView,switchDescription
merge_setting_row_double,TextView,title
merge_setting_row_double,TextView,description
bookmark_row_layout,ImageView,edit
bookmark_row_layout,TextView,title
bookmark_row_layout,TextView,summary
bookmark_row_layout,TextView,time
loudness,TextView,currentValue
loudness,TextView,maxValue
loudness,SeekBar,seekBar
activity_folder_chooser_adapter_row_layout,ImageView,icon
activity_folder_chooser_adapter_row_layout,TextView,text
activity_no_external,com.google.android.material.appbar.MaterialToolbar,toolbar
activity_no_external,TextView,textView
dialog_amount_chooser,TextView,textView
dialog_amount_chooser,SeekBar,seekBar
book_overview_row_list,androidx.constraintlayout.widget.ConstraintLayout,card
book_overview_row_list,ImageView,cover
book_overview_row_list,ImageView,clock
book_overview_row_list,ImageView,playingIndicator
book_overview_row_list,TextView,author
book_overview_row_list,TextView,title
book_overview_row_list,TextView,remainingTime
book_overview_row_list,de.ph1b.audiobook.uitools.SquareProgressView,progress
activity_folder_chooser,com.google.android.material.appbar.MaterialToolbar,toolbar
activity_folder_chooser,androidx.recyclerview.widget.RecyclerView,recycler
activity_folder_chooser,RelativeLayout,spinnerGroup
activity_folder_chooser,ImageView,upButton
activity_folder_chooser,Button,abort
activity_folder_chooser,Button,choose
activity_folder_chooser,Spinner,toolSpinner
activity_folder_chooser,TextView,storageExplanation
activity_folder_chooser,TextView,twoline_text1
activity_folder_chooser,TextView,currentFolder
settings,com.google.android.material.appbar.MaterialToolbar,toolbar
settings,de.ph1b.audiobook.features.settings.SwitchSettingView,darkTheme
settings,de.ph1b.audiobook.features.settings.SwitchSettingView,resumePlayback
settings,de.ph1b.audiobook.features.settings.DoubleSettingView,skipAmount
settings,de.ph1b.audiobook.features.settings.DoubleSettingView,autoRewind
book_overview_row_grid,androidx.constraintlayout.widget.ConstraintLayout,card
book_overview_row_grid,ImageView,cover
book_overview_row_grid,ImageView,clock
book_overview_row_grid,ImageView,playingIndicator
book_overview_row_grid,Space,background
book_overview_row_grid,TextView,title
book_overview_row_grid,TextView,remainingTime
book_overview_row_grid,de.ph1b.audiobook.uitools.SquareProgressView,progress
book_more_bottom_sheet,TextView,title
book_more_bottom_sheet,TextView,internetCover
book_more_bottom_sheet,TextView,fileCover
book_more_bottom_sheet,TextView,bookmark
book_overview_header,TextView,text
book_overview_header,Button,showAll
folder_overview,com.google.android.material.appbar.MaterialToolbar,toolbar
folder_overview,androidx.recyclerview.widget.RecyclerView,recycler
folder_overview,View,overlay
folder_overview,com.getbase.floatingactionbutton.FloatingActionsMenu,fam
folder_overview,com.getbase.floatingactionbutton.FloatingActionButton,addAsSingle
folder_overview,com.getbase.floatingactionbutton.FloatingActionButton,addAsLibrary
dialog_sleep,androidx.constraintlayout.widget.Guideline,fabX
dialog_sleep,androidx.constraintlayout.widget.Guideline,fabY
dialog_sleep,TextView,time
dialog_sleep,TextView,one
dialog_sleep,TextView,two
dialog_sleep,TextView,three
dialog_sleep,TextView,four
dialog_sleep,TextView,five
dialog_sleep,TextView,six
dialog_sleep,TextView,seven
dialog_sleep,TextView,eight
dialog_sleep,TextView,nine
dialog_sleep,TextView,zero
dialog_sleep,View,lowerBackground
dialog_sleep,Space,zeroSpace
dialog_sleep,ImageView,delete
dialog_sleep,androidx.appcompat.widget.SwitchCompat,bookmarkSwitch
dialog_sleep,androidx.appcompat.widget.SwitchCompat,shakeToResetSwitch
dialog_sleep,com.google.android.material.floatingactionbutton.FloatingActionButton,fab
