XML_file_name,View_name,Resource_name
tag,fm.last.android.widget.TagLayout,TagLayout
tag,TabHost,TabBar
tag,ListView,TagList
tag,EditText,tag_text_edit
tag,Button,tag_add_button
tag,TabWidget,oid:id/tabs
tag,FrameLayout,oid:id/tabcontent
tag,LinearLayout,dummy
tag,item,cancel_menu_item
tag,item,save_menu_item
login,ImageView,ImageView01
login,EditText,username
login,EditText,password
login,Button,sign_in_button
login,Button,sign_up_button
player,item,info_menu_item
player,item,share_menu_item
player,item,tag_menu_item
player,item,buy_menu_item
notification,ImageView,image
notification,ImageButton,love
notification,ImageButton,ban
notification,ImageButton,stop
notification,ImageButton,skip
notification,TextView,title
notification,TextView,text
event,fm.last.android.widget.AlbumArt,poster
event,TextView,title
event,TextView,artists
event,TextView,venue
event,TextView,street
event,TextView,month
event,TextView,day
event,LinearLayout,calendar
event,Button,showmap
event,Button,buytickets
event,Button,cancel
event,Button,ok
event,RadioGroup,attend
event,RadioButton,attending
event,RadioButton,maybe
event,RadioButton,notattending
widget,LinearLayout,playback_controls
widget,ProgressBar,oid:id/progress
widget,ProgressBar,spinner
widget,ImageButton,menu
widget,ImageButton,love
widget,ImageButton,ban
widget,ImageButton,stop
widget,ImageButton,skip
widget,TextView,widgettext
widget,TextView,totaltime
signup,ImageView,ImageView01
signup,Button,create_account_button
signup,EditText,username
signup,EditText,password
signup,EditText,email
audio_player,fm.last.android.widget.AdArea,AdArea
audio_player,ImageView,album
audio_player,LinearLayout,noticeContainer
audio_player,LinearLayout,playback_controls
audio_player,LinearLayout,playback_progressarea
audio_player,ImageButton,ontour
audio_player,ImageButton,dismiss
audio_player,ImageButton,love
audio_player,ImageButton,ban
audio_player,ImageButton,stop
audio_player,ImageButton,skip
audio_player,TableLayout,track_metadata
audio_player,TextView,notice
audio_player,TextView,currenttime
audio_player,TextView,totaltime
audio_player,TextView,track_artist
audio_player,TextView,track_title
audio_player,TextView,track_context
audio_player,ProgressBar,oid:id/progress
progress_horizontal,item,oid:id/background
progress_horizontal,item,oid:id/secondaryProgress
progress_horizontal,item,oid:id/progress
widget_progress,item,oid:id/background
widget_progress,item,oid:id/progress
profile_bubble,fm.last.android.widget.AlbumArt,profile_avatar
profile_bubble,TextView,profile_username
profile_bubble,TextView,profile_meta
account_access_prompt,Button,yes
account_access_prompt,Button,no
notification_big,ImageView,image
notification_big,TextView,title
notification_big,TextView,text
notification_big,ImageButton,love
notification_big,ImageButton,ban
notification_big,ImageButton,stop
notification_big,ImageButton,skip
search,LinearLayout,SearchBar
search,ListView,oid:id/list
search,EditText,station_editbox
search,ImageButton,search
search,ImageButton,voice
home,fm.last.android.widget.AdArea,AdArea
home,TabHost,TabBar
home,TabWidget,oid:id/tabs
home,FrameLayout,oid:id/tabcontent
tag_row,TextView,row_label
charts,ListView,oid:id/list
charts,ListView,recommended_list_view
charts,ListView,topartists_list_view
charts,ListView,topalbums_list_view
charts,ListView,toptracks_list_view
charts,ListView,recenttracks_list_view
charts,ListView,profilefriends_list_view
charts,ListView,profiletags_list_view
events,ListView,oid:id/list
events,ListView,myevents_list_view
events,ListView,recommended_list_view
events,ListView,nearme_list_view
event_row,TextView,ExtendedRowBiggerText
event_row,TextView,ExtendedRowSmallerText0
event_row,TextView,ExtendedRowSmallerText1
share,ListView,friends_list_view
popup,ListView,oid:id/list
profile_bubble_quickcontact,QuickContactBadge,profile_avatar
profile_bubble_quickcontact,TextView,profile_username
profile_bubble_quickcontact,TextView,profile_meta
list_row,ImageView,row_icon
list_row,ImageView,row_disclosure_icon
list_row,ViewSwitcher,row_view_switcher
list_row,TextView,row_label
list_row,TextView,row_label_second
metadata,TabHost,TabBar
metadata,TabWidget,oid:id/tabs
metadata,FrameLayout,oid:id/tabcontent
metadata,ListView,similar_list_view
metadata,ListView,tags_list_view
metadata,ListView,events_list_view
metadata,ListView,listeners_list_view
metadata,WebView,webview
metadata,ImageButton,ontour
