XML_file_name,View_name,Resource_name
main_navigation,fragment,main_art_details
main_navigation,fragment,gestures_fragment
main_navigation,fragment,main_effects
main_navigation,fragment,choose_provider_fragment
main_navigation,fragment,browse_provider
main_navigation,fragment,legacy_source_info
main_navigation,navigation,main_choose_provider
main_navigation,action,gestures
main_navigation,action,browse
main_navigation,action,legacy_info
about_activity,androidx.fragment.app.FragmentContainerView,demo_view_container
about_activity,androidx.appcompat.widget.Toolbar,toolbar
about_activity,include,content
tutorial_fragment,include,content
effects_screen_fragment,include,content
muzei_overflow,item,action_gestures
muzei_overflow,item,action_always_dark
muzei_overflow,item,action_about
main,item,main_art_details
main,item,main_choose_provider
main,item,main_effects
choose_provider_fragment,item,auto_advance_settings
choose_provider_fragment,item,auto_advance_disabled
choose_provider_fragment,item,action_notification_settings
choose_provider_fragment,androidx.coordinatorlayout.widget.CoordinatorLayout,provider_layout
choose_provider_fragment,fragment,provider_auto_advance
choose_provider_fragment,androidx.recyclerview.widget.RecyclerView,list
choose_provider_fragment,androidx.appcompat.widget.Toolbar,toolbar
effects_fragment,item,action_link_effects
effects_fragment,item,action_reset_defaults
effects_fragment,androidx.appcompat.widget.Toolbar,toolbar
effects_fragment,com.google.android.material.tabs.TabLayout,tab_layout
effects_fragment,androidx.viewpager.widget.ViewPager,view_pager
legacy_source_info_fragment,item,learn_more
legacy_source_info_fragment,androidx.recyclerview.widget.RecyclerView,list
legacy_source_info_fragment,androidx.appcompat.widget.Toolbar,toolbar
legacy_source_info_fragment,Button,learn_more
browse_provider_fragment,item,browse_refresh
browse_provider_fragment,androidx.swiperefreshlayout.widget.SwipeRefreshLayout,swipe_refresh
browse_provider_fragment,androidx.appcompat.widget.Toolbar,toolbar
browse_provider_fragment,androidx.recyclerview.widget.RecyclerView,list
intro_fragment,androidx.fragment.app.FragmentContainerView,demo_view
intro_fragment,androidx.fragment.app.FragmentContainerView,animated_logo_fragment
intro_fragment,com.google.android.apps.muzei.IntroButton,activate_muzei
scrubber_progress_grey_amount,item,oid:id/background
scrubber_progress_grey_amount,item,oid:id/secondaryProgress
scrubber_progress_grey_amount,item,oid:id/progress
scrubber_progress_dim_amount,item,oid:id/background
scrubber_progress_dim_amount,item,oid:id/secondaryProgress
scrubber_progress_dim_amount,item,oid:id/progress
scrubber_progress_blur_amount,item,oid:id/background
scrubber_progress_blur_amount,item,oid:id/secondaryProgress
scrubber_progress_blur_amount,item,oid:id/progress
scrubber_progress_horizontal,item,oid:id/background
scrubber_progress_horizontal,item,oid:id/secondaryProgress
scrubber_progress_horizontal,item,oid:id/progress
muzei_activity,androidx.fragment.app.FragmentContainerView,local_render_container
muzei_activity,androidx.fragment.app.FragmentContainerView,container
widget,ImageView,widget_background
widget,ImageButton,widget_next_artwork
animated_logo_fragment,com.google.android.apps.muzei.util.AnimatedMuzeiLogoView,animated_logo
animated_logo_fragment,ImageView,logo_subtitle
widget_small,ImageView,widget_background
widget_small,ImageButton,widget_next_artwork
auto_advance_fragment,CheckBox,use_wifi
auto_advance_fragment,RadioGroup,interval_group
auto_advance_fragment,TextView,tasker
auto_advance_fragment,RadioButton,interval_15m
auto_advance_fragment,RadioButton,interval_30m
auto_advance_fragment,RadioButton,interval_1h
auto_advance_fragment,RadioButton,interval_3h
auto_advance_fragment,RadioButton,interval_6h
auto_advance_fragment,RadioButton,interval_24h
auto_advance_fragment,RadioButton,interval_72h
auto_advance_fragment,RadioButton,interval_never
effects_screen_fragment_include_content,TextView,blur_amount_title
effects_screen_fragment_include_content,TextView,dim_amount_title
effects_screen_fragment_include_content,TextView,grey_amount_title
effects_screen_fragment_include_content,SeekBar,blur_amount
effects_screen_fragment_include_content,SeekBar,dim_amount
effects_screen_fragment_include_content,SeekBar,grey_amount
effects_screen_fragment_include_content,androidx.constraintlayout.widget.Barrier,title_barrier
browse_provider_item,ImageView,image
main_fragment,androidx.fragment.app.FragmentContainerView,container
main_fragment,com.google.android.material.bottomnavigation.BottomNavigationView,bottom_nav
tutorial_content,com.google.android.apps.muzei.util.ShadowDipsTextView,main_text
tutorial_content,com.google.android.apps.muzei.util.ShadowDipsTextView,sub_text
tutorial_content,com.google.android.apps.muzei.util.ShadowDipsTextView,icon_text
tutorial_content,ImageView,icon_emanate
tutorial_content,FrameLayout,icon_affordance
legacy_source_info_item,ImageView,icon
legacy_source_info_item,TextView,title
legacy_source_info_item,androidx.constraintlayout.widget.Barrier,button_bar
legacy_source_info_item,Button,app_info
legacy_source_info_item,Button,send_feedback
choose_provider_item,ImageView,icon
choose_provider_item,ImageView,selected
choose_provider_item,ImageView,artwork
choose_provider_item,TextView,title
choose_provider_item,TextView,description
choose_provider_item,androidx.constraintlayout.widget.Barrier,button_bar
choose_provider_item,Button,settings
choose_provider_item,Button,browse
gestures_fragment,androidx.appcompat.widget.Toolbar,toolbar
gestures_fragment,TextView,double_tap_title
gestures_fragment,TextView,double_tap_description
gestures_fragment,TextView,three_finger_tap_title
gestures_fragment,TextView,three_finger_tap_description
gestures_fragment,RadioGroup,double_tap_action
gestures_fragment,RadioGroup,three_finger_tap_action
gestures_fragment,RadioButton,double_tap_temporary_disable
gestures_fragment,RadioButton,double_tap_next
gestures_fragment,RadioButton,double_tap_view_details
gestures_fragment,RadioButton,double_tap_none
gestures_fragment,RadioButton,three_finger_tap_temporary_disable
gestures_fragment,RadioButton,three_finger_tap_next
gestures_fragment,RadioButton,three_finger_tap_view_details
gestures_fragment,RadioButton,three_finger_tap_none
about_include_content,androidx.fragment.app.FragmentContainerView,animated_logo_fragment
about_include_content,TextView,app_version
about_include_content,TextView,body
about_include_content,ImageButton,android_experiment_link
art_detail_fragment,View,scrim
art_detail_fragment,ViewAnimator,background_image_container
art_detail_fragment,com.google.android.apps.muzei.util.PanScaleProxyView,pan_scale_proxy
art_detail_fragment,FrameLayout,image_loading_container
art_detail_fragment,LinearLayout,chrome_container
art_detail_fragment,LinearLayout,metadata
art_detail_fragment,com.google.android.apps.muzei.util.AnimatedMuzeiLoadingSpinnerView,image_loading_indicator
art_detail_fragment,ImageButton,next_artwork
art_detail_fragment,androidx.appcompat.widget.ActionMenuView,overflow_menu
art_detail_fragment,com.google.android.apps.muzei.util.ShadowDipsTextView,attribution
art_detail_fragment,com.google.android.apps.muzei.util.ShadowDipsTextView,title
art_detail_fragment,com.google.android.apps.muzei.util.ShadowDipsTextView,byline
white_selectable_item_background,item,oid:id/mask
grey_selectable_item_background_circle,item,oid:id/mask
