XML_file_name,View_name,Resource_name
edit_host_activity_add_menu,item,save
edit_host_activity_edit_menu,item,save
pubkey_list_activity_menu,item,add_new_key_icon
pubkey_list_activity_menu,item,import_existing_key_icon
dia_portforward,EditText,nickname
dia_portforward,EditText,portforward_source
dia_portforward,EditText,portforward_destination
dia_portforward,Spinner,portforward_type
inc_keyboard,HorizontalScrollView,keyboard_hscroll
inc_keyboard,ImageView,button_keyboard
inc_keyboard,ImageView,button_tab
inc_keyboard,ImageView,button_up
inc_keyboard,ImageView,button_down
inc_keyboard,ImageView,button_left
inc_keyboard,ImageView,button_right
inc_keyboard,Button,button_ctrl
inc_keyboard,Button,button_esc
inc_keyboard,Button,button_home
inc_keyboard,Button,button_end
inc_keyboard,Button,button_pgup
inc_keyboard,Button,button_pgdn
inc_keyboard,Button,button_f1
inc_keyboard,Button,button_f2
inc_keyboard,Button,button_f3
inc_keyboard,Button,button_f4
inc_keyboard,Button,button_f5
inc_keyboard,Button,button_f6
inc_keyboard,Button,button_f7
inc_keyboard,Button,button_f8
inc_keyboard,Button,button_f9
inc_keyboard,Button,button_f10
inc_keyboard,Button,button_f11
inc_keyboard,Button,button_f12
act_generatepubkey,SeekBar,bits_slider
act_generatepubkey,CheckBox,unlock_at_startup
act_generatepubkey,CheckBox,confirm_use
act_generatepubkey,Button,save
act_generatepubkey,EditText,nickname
act_generatepubkey,EditText,bits
act_generatepubkey,EditText,password1
act_generatepubkey,EditText,password2
act_generatepubkey,RadioGroup,key_type
act_generatepubkey,RadioButton,rsa
act_generatepubkey,RadioButton,dsa
act_generatepubkey,RadioButton,ec
act_generatepubkey,RadioButton,ed25519
view_checkablemenuitem,ImageView,icon
view_checkablemenuitem,TextView,title
view_checkablemenuitem,TextView,summary
view_checkablemenuitem,androidx.appcompat.widget.SwitchCompat,heckbox_switch
act_pubkeylist,androidx.recyclerview.widget.RecyclerView,list
act_pubkeylist,TextView,empty
item_pubkey,ImageView,oid:id/icon
item_pubkey,TextView,oid:id/text1
item_pubkey,TextView,oid:id/text2
fragment_host_editor,RelativeLayout,protocol_item
fragment_host_editor,RelativeLayout,nickname_item
fragment_host_editor,RelativeLayout,color_item
fragment_host_editor,RelativeLayout,pubkey_item
fragment_host_editor,RelativeLayout,delkey_item
fragment_host_editor,RelativeLayout,encoding_item
fragment_host_editor,RelativeLayout,postlogin_item
fragment_host_editor,LinearLayout,uri_parts_container
fragment_host_editor,org.connectbot.views.CheckableMenuItem,use_ssh_auth_item
fragment_host_editor,org.connectbot.views.CheckableMenuItem,ssh_auth_confirmation_item
fragment_host_editor,org.connectbot.views.CheckableMenuItem,compression_item
fragment_host_editor,org.connectbot.views.CheckableMenuItem,start_shell_item
fragment_host_editor,org.connectbot.views.CheckableMenuItem,stay_connected_item
fragment_host_editor,org.connectbot.views.CheckableMenuItem,close_on_disconnect_item
fragment_host_editor,TextView,protocol_title
fragment_host_editor,TextView,rotocol_text
fragment_host_editor,TextView,color_title
fragment_host_editor,TextView,color_text
fragment_host_editor,TextView,font_size_title
fragment_host_editor,TextView,pubkey_title
fragment_host_editor,TextView,pubkey_text
fragment_host_editor,TextView,delkey_title
fragment_host_editor,TextView,delkey_text
fragment_host_editor,TextView,encoding_title
fragment_host_editor,TextView,encoding_text
fragment_host_editor,TextView,postlogin_title
fragment_host_editor,TextView,postlogin_summary
fragment_host_editor,com.google.android.material.textfield.TextInputLayout,quickconnect_field_container
fragment_host_editor,com.google.android.material.textfield.TextInputLayout,username_field_container
fragment_host_editor,com.google.android.material.textfield.TextInputLayout,hostname_field_container
fragment_host_editor,com.google.android.material.textfield.TextInputLayout,port_field_container
fragment_host_editor,ImageButton,expand_collapse_button
fragment_host_editor,EditText,ost_login_automation_field
fragment_host_editor,EditText,font_size_text
fragment_host_editor,com.google.android.material.textfield.TextInputEditText,uickconnect_field
fragment_host_editor,com.google.android.material.textfield.TextInputEditText,sername_edit_text
fragment_host_editor,com.google.android.material.textfield.TextInputEditText,ostname_edit_text
fragment_host_editor,com.google.android.material.textfield.TextInputEditText,ort_edit_text
fragment_host_editor,com.google.android.material.textfield.TextInputEditText,ickname_field
fragment_host_editor,SeekBar,ont_size_bar
dia_gatherentropy,org.connectbot.util.EntropyView,entropy
act_console,TextView,oid:id/empty
act_console,TextView,console_password_instructions
act_console,TextView,console_prompt
act_console,org.connectbot.util.TerminalViewPager,console_flip
act_console,RelativeLayout,console_password_group
act_console,RelativeLayout,console_boolean_group
act_console,EditText,console_password
act_console,Button,console_prompt_no
act_console,Button,console_prompt_yes
act_console,androidx.appcompat.widget.Toolbar,toolbar
act_console,com.google.android.material.tabs.TabLayout,tabs
item_host,ImageView,oid:id/icon
item_host,TextView,oid:id/text1
item_host,TextView,oid:id/text2
dia_changepassword,TableRow,old_password_prompt
dia_changepassword,EditText,old_password
dia_changepassword,EditText,password1
