XML_file_name,View_name,Resource_name
mousepadplugin_preferences,ListPreference,mousepad_double_tap_preference
mousepadplugin_preferences,ListPreference,mousepad_triple_tap_preference
mousepadplugin_preferences,ListPreference,mousepad_sensitivity_preference
mousepadplugin_preferences,ListPreference,mousepad_acceleration_profile_preference
mousepadplugin_preferences,CheckBoxPreference,mousepad_scroll_preference
mprisplugin_preferences,ListPreference,mpris_time_preference
mprisplugin_preferences,CheckBoxPreference,mpris_notification_preference
remotekeyboardplugin_preferences,CheckBoxPreference,remotekeyboard_editing_only
shareplugin_preferences,CheckBoxPreference,share_destination_customize
shareplugin_preferences,CheckBoxPreference,share_notification_preference
shareplugin_preferences,Preference,share_destination_folder_preference
runcommand_context,item,copy_url_to_clipboard
sftp_settings_action_mode,item,delete
menu_presenter,item,fullscreen
menu_presenter,item,exit_presentation
menu_mousepad,item,menu_show_keyboard
menu_mousepad,item,menu_right_click
menu_mousepad,item,menu_middle_click
pairing,item,menu_refresh
pairing,item,menu_custom_device_list
pairing,item,menu_trusted_networks
refresh,item,menu_refresh
activity_mpris,ImageView,album_art
activity_mpris,fragment,systemvolume_fragment
preference_with_button,LinearLayout,oid:id/widget_frame
preference_with_button,androidx.appcompat.widget.AppCompatImageButton,settingsButton
preference_with_button,TextView,oid:id/title
preference_with_button,TextView,oid:id/summary
edit_text_alert_dialog_view,com.google.android.material.textfield.TextInputLayout,textInputLayout
edit_text_alert_dialog_view,com.google.android.material.textfield.TextInputEditText,textInputEditText
widget_remotecommandplugin_dialog,ListView,runcommandsdevicelist
activity_presenter,TextView,textView
activity_presenter,Button,pointer_button
activity_presenter,ImageButton,previous_button
activity_presenter,ImageButton,next_button
privacy_options,CheckBox,checkbox_contents
privacy_options,CheckBox,checkbox_images
activity_custom_devices,androidx.recyclerview.widget.RecyclerView,recyclerView
activity_custom_devices,TextView,emptyListMessage
activity_custom_devices,com.google.android.material.floatingactionbutton.FloatingActionButton,floatingActionButton
activity_runcommand,ListView,runcommandslist
activity_runcommand,com.google.android.material.floatingactionbutton.FloatingActionButton,add_command_button
activity_runcommand,TextView,addcomand_explanation
mpris_control,TextView,no_players
mpris_control,TextView,now_playing_textview
mpris_control,TextView,progress_textview
mpris_control,TextView,time_textview
mpris_control,Spinner,player_spinner
mpris_control,ImageButton,play_button
mpris_control,ImageButton,prev_button
mpris_control,ImageButton,rew_button
mpris_control,ImageButton,stop_button
mpris_control,ImageButton,ff_button
mpris_control,ImageButton,next_button
mpris_control,LinearLayout,progress_slider
mpris_control,LinearLayout,volume_layout
mpris_control,SeekBar,positionSeek
mpris_control,SeekBar,volume_seek
mpris_control,androidx.appcompat.widget.AppCompatImageView,imageView
list_item_category,TextView,list_item_category_text
list_item_category,TextView,list_item_category_empty_placeholder
nav_header,TextView,kdeconnect_label
nav_header,TextView,device_name
list_item_systemvolume,TextView,systemvolume_label
list_item_systemvolume,LinearLayout,systemvolume_layout
list_item_systemvolume,ImageButton,systemvolume_mute
list_item_systemvolume,SeekBar,systemvolume_seek
trusted_network_list,CheckBox,trust_all_networks_checkBox
trusted_network_list,TextView,trusted_network_list_empty
trusted_network_list,ListView,oid:id/list
trusted_network_list,Button,oid:id/button1
list_item_entry,TextView,list_item_entry_title
list_item_entry,TextView,list_item_entry_summary
widget_remotecommandplugin,LinearLayout,runcommandWidgetTitleHeader
widget_remotecommandplugin,ListView,runcommandslist
widget_remotecommandplugin,TextView,not_reachable_message
widget_remotecommandplugin,TextView,runcommandWidgetTitle
list_item_with_icon_entry,androidx.appcompat.widget.AppCompatImageView,list_item_entry_icon
list_item_with_icon_entry,TextView,list_item_entry_title
list_item_with_icon_entry,TextView,list_item_entry_summary
custom_device_item,TextView,deviceNameOrIPBackdrop
custom_device_item,TextView,deviceNameOrIP
custom_device_item,FrameLayout,swipeableView
popup_notificationsfilter,ListView,extra_options_list
activity_notification_filter,TextView,tFilter
activity_notification_filter,ProgressBar,spinner
activity_notification_filter,ListView,lvFilterApps
devices_list,ListView,devices_list
fragment_storage_preference_dialog,com.google.android.material.textfield.TextInputLayout,storageDisplayNameInputLayout
fragment_storage_preference_dialog,com.google.android.material.textfield.TextInputEditText,storageLocation
fragment_storage_preference_dialog,com.google.android.material.textfield.TextInputEditText,storageDisplayName
activity_mousepad,view,keyListener
activity_device,LinearLayout,pairing_buttons
activity_device,LinearLayout,error_message_container
activity_device,LinearLayout,pair_request_buttons
activity_device,ListView,buttons_list
activity_device,ProgressBar,pair_progress
activity_device,TextView,pair_message
activity_device,TextView,not_reachable_message
activity_device,Button,pair_button
activity_device,Button,accept_button
activity_device,Button,reject_button
activity_device,androidx.appcompat.widget.AppCompatImageView,error_message_icon
activity_find_my_phone,Button,bFindMyPhone
activity_main,androidx.coordinatorlayout.widget.CoordinatorLayout,coordinatorLayout
activity_main,com.google.android.material.navigation.NavigationView,navigation_drawer
activity_main,FrameLayout,container
activity_main,androidx.appcompat.widget.Toolbar,toolbar
