XML_file_name,View_name,Resource_name
comment_compose_menu,item,comment_submit
attempts_menu,item,attempts_menu_item_delete
step_menu,item,menu_item_share
step_menu,item,menu_item_submissions
feedback_text_menu,item,action_send
steps_menu,item,action_comments
compose_course_review_menu,item,course_review_submit
course_activity_menu,item,drop_course
course_activity_menu,item,share_course
course_activity_menu,item,restore_purchase
course_content_control_bar_schedule_menu,item,menu_item_deadlines_edit
course_content_control_bar_schedule_menu,item,menu_item_deadlines_remove
course_content_control_bar_schedule_menu,item,menu_item_deadlines_sync
profile_menu,item,menu_item_share
profile_menu,item,menu_item_edit
profile_menu,item,menu_item_settings
video_more_menu,item,video_quality
course_content_control_bar_schedule_menu_no_personal,item,menu_item_deadlines_sync
video_rate_menu,item,x0_5
video_rate_menu,item,x0_75
video_rate_menu,item,x1
video_rate_menu,item,x1_25
video_rate_menu,item,x1_5
video_rate_menu,item,x1_75
video_rate_menu,item,x2
notification_center_menu,item,action_settings
coment_list_menu,group,comments_menu_group
coment_list_menu,item,menu_item_last_discussion
coment_list_menu,item,menu_item_most_liked
coment_list_menu,item,menu_item_most_active
coment_list_menu,item,menu_item_recent_activity
step_edit_menu,item,menu_item_edit
comment_item_menu,item,comment_item_edit
comment_item_menu,item,comment_item_remove
profile_edit_menu,item,profile_edit_save
course_content_control_menu,item,course_control_schedule
course_content_control_menu,item,course_control_download_all
new_comment_menu,item,action_send_comment
code_playground_menu,item,action_reset_code
course_review_menu,item,course_review_menu_edit
course_review_menu,item,course_review_menu_remove
drawer_menu,item,home
drawer_menu,item,catalog
drawer_menu,item,profile
drawer_menu,item,notifications
lesson_menu,item,lesson_menu_item_info
fragment_feedback,Button,feedbackBadButton
fragment_feedback,Button,feedbackGoodButton
empty_login,androidx.constraintlayout.widget.Guideline,centerGuideline
empty_login,ImageView,placeholderIcon
empty_login,TextView,placeholderMessage
empty_login,androidx.appcompat.widget.AppCompatButton,authAction
empty_notifications,androidx.constraintlayout.widget.Guideline,centerGuideline
empty_notifications,ImageView,placeholderIcon
empty_notifications,TextView,placeholderMessage
empty_notifications,androidx.appcompat.widget.AppCompatButton,goToCatalog
error_no_connection,androidx.constraintlayout.widget.Guideline,centerGuideline
error_no_connection,ImageView,placeholderIcon
error_no_connection,TextView,placeholderMessage
empty_downloading,androidx.constraintlayout.widget.Guideline,centerGuideline
empty_downloading,ImageView,placeholderIcon
empty_downloading,TextView,placeholderMessage
empty_downloading,androidx.appcompat.widget.AppCompatButton,goToCatalog
error_no_connection_with_button,androidx.constraintlayout.widget.Guideline,centerGuideline
error_no_connection_with_button,ImageView,placeholderIcon
error_no_connection_with_button,TextView,errorMessage
error_no_connection_with_button,androidx.appcompat.widget.AppCompatButton,tryAgain
dialog_achievement_details,FrameLayout,achievementIconContainer
