XML_file_name,View_name,Resource_name
create_kbs_pin,fragment,createKbsPinFragment
create_kbs_pin,fragment,confirmKbsPinFragment
create_kbs_pin,action,action_confirmPin
kbs_migration,fragment,kbsSplashFragment
kbs_migration,action,action_createKbsPin
edit_profile,fragment,createProfileFragment
edit_profile,fragment,usernameEditFragment
edit_profile,action,action_editUsername
registration,fragment,welcomeFragment
registration,fragment,enterPhoneNumberFragment
registration,fragment,countryPickerFragment
registration,fragment,enterCodeFragment
registration,fragment,registrationLockFragment
registration,fragment,accountLockedFragment
registration,fragment,captchaFragment
registration,fragment,restoreBackupFragment
registration,fragment,registrationCompletePlaceHolderFragment
registration,action,action_restore
registration,action,action_skip_restore
registration,action,action_pickCountry
registration,action,action_enterVerificationCode
registration,action,action_requestCaptcha
registration,action,action_countrySelected
registration,action,action_requireKbsLockPin
registration,action,action_wrongNumber
registration,action,action_requestCaptcha
registration,action,action_successfulRegistration
registration,action,action_accountLocked
registration,action,action_successfulRegistration
registration,action,action_accountLocked
registration,action,action_captchaComplete
registration,action,action_backupRestored
registration,action,action_skip
registration,action,action_noBackupFound
registration,action,action_skip_no_return
conversation_expiring_on,item,menu_expiring_messages
conversation_message_requests_group,item,menu_group_recipients
conversation_message_requests_group,item,menu_leave
media_preview,item,media_preview__forward
media_preview,item,save
media_preview,item,media_preview__overview
media_preview,item,delete
conversation_message_requests,item,menu_view_media
conversation_mms_group_options,item,menu_group_delivery
conversation_mms_group_options,item,menu_distribution_conversation
conversation_mms_group_options,item,menu_distribution_broadcast
conversation_mms_group_options,group,distribution_group
conversation_expiring_off,item,menu_expiring_messages_off
new_conversation_activity,item,menu_refresh
new_conversation_activity,item,menu_new_group
new_conversation_activity,item,menu_invite
conversation_reactions_long_press_menu,item,action_info
conversation_reactions_long_press_menu,item,action_delete
conversation_reactions_long_press_menu,item,action_copy
conversation_reactions_long_press_menu,item,action_reply
conversation_reactions_long_press_menu,item,action_download
conversation_reactions_long_press_menu,item,action_multiselect
conversation_reactions_long_press_menu,item,action_forward
mediapicker_default,item,mediapicker_menu_camera
conversation,item,menu_view_media
conversation,item,menu_conversation_settings
conversation,item,menu_search
conversation,item,menu_add_shortcut
conversation_callable_insecure,item,menu_call_insecure
conversation_context,item,menu_context_details
conversation_context,item,menu_context_delete_message
conversation_context,item,menu_context_copy
conversation_context,item,menu_context_reply
conversation_context,item,menu_context_resend
conversation_context,item,menu_context_save_attachment
conversation_context,item,menu_context_forward
conversation_list_search,item,action_filter_search
conversation_secure,item,menu_reset_secure_session
conversation_popup,item,menu_expand
group_create,item,menu_create_group
conversation_add_to_contacts,item,menu_add_to_contacts
camera_contacts,item,menu_search
conversation_list_batch_archive,item,menu_archive_selected
verify_display_fragment_context_menu,item,menu_copy
verify_display_fragment_context_menu,item,menu_compare
text_secure_normal,item,menu_new_group
text_secure_normal,item,menu_clear_passphrase
text_secure_normal,item,menu_mark_all_read
text_secure_normal,item,menu_invite
text_secure_normal,item,menu_settings
text_secure_normal,item,menu_insights
conversation_push_group_options,item,menu_edit_group
conversation_push_group_options,item,menu_leave
submit_debug_log_normal,item,menu_search
submit_debug_log_normal,item,menu_edit_log
submit_debug_log_normal,item,menu_done_editing_log
conversation_callable_secure,item,menu_video_secure
conversation_callable_secure,item,menu_call_secure
media_overview_context,item,save
media_overview_context,item,delete
media_overview_context,item,select_all
conversation_list_batch,item,menu_delete_selected
conversation_list_batch,item,menu_select_all
conversation_group_options,item,menu_group_recipients
conversation_muted,item,menu_unmute_notifications
conversation_list_batch_unarchive,item,menu_archive_selected
conversation_insecure,item,menu_invite
conversation_unmuted,item,menu_mute_notifications
verify_identity,item,verify_identity__share
log_submit,item,menu_submit_debug_logs
recent_photo_view_item,ImageView,thumbnail
conversation_item_footer,TextView,footer_date
conversation_item_footer,TextView,footer_sim_info
conversation_item_footer,org.thoughtcrime.securesms.components.ExpirationTimerView,footer_expiration_timer
conversation_item_footer,ImageView,footer_insecure_indicator
conversation_item_footer,org.thoughtcrime.securesms.components.DeliveryStatusView,footer_delivery_status
contact_filter_toolbar,LinearLayout,toggle_container
contact_filter_toolbar,EditText,search_view
contact_filter_toolbar,org.thoughtcrime.securesms.components.AnimatingToggle,button_toggle
contact_filter_toolbar,ImageView,search_dialpad
contact_filter_toolbar,ImageView,search_keyboard
contact_filter_toolbar,ImageView,search_clear
camera_contact_selection_fragment,androidx.appcompat.widget.Toolbar,camera_contacts_toolbar
camera_contact_selection_fragment,View,camera_contacts_top_shadow
camera_contact_selection_fragment,View,camera_contacts_bottom_shadow
camera_contact_selection_fragment,LinearLayout,camera_contacts_empty
camera_contact_selection_fragment,androidx.recyclerview.widget.RecyclerView,camera_contacts_list
camera_contact_selection_fragment,androidx.recyclerview.widget.RecyclerView,camera_contacts_selected_list
camera_contact_selection_fragment,androidx.constraintlayout.widget.Barrier,camera_contacts_footer_barrier
camera_contact_selection_fragment,ImageView,camera_contacts_send_button
