review_id,app_id,score,star_num,helpful_num,review_content
1,com.evernote,257.56493506493507,1,2,"Cannot edit app.  Just sucks.  Supposed to be able to edit, but crashes each time I hit the edit button.   Really sucks when you are out and about and have to write everything down on paper and wait until you get back to the office.  Sucks again.  Need some sort of an update for this app.  (Android)  Got an email from Evernote:  1.  Open Evernote 2.  Tap on the three dots in the upper right corner. 3.  Click on ""Settings,"" ""Support,"" ""Send Activity Logs."" Did that, except in Settings, there was no ""Support"" button, thus, no ""Send Activity Log""  And, here I am paying for the ""Premium"" feature of Evernote.  So, looking for an alternative with ""support"" I downloaded Microsoft One Note.  Don't like it as much, but it is new and at least I can edit the app information.  And, they have constant updates. So, guess what?  I am slowly but surely transitioning from Evernote over to One Note.  Well, there doesn't seem to be an additional review so I will add to this one.  First, I praise Evernote for their PC version of this program.  Having said that, the tablet version of Evernote is a very poor excuse of an attempt to create something that works.  You can read the info that you have stored but that is about it.  I have found another program that works, and works well.  So after having written this note, I am forthwith deleting the Tablet version of Evernote from this tablet.  This goes with an admonition to read all the review of this app program prior to downloading it to your phone or tablet.  PS:  There is absolutely no credible support from Evernote for this app."
2,com.evernote,254.28571428571428,3,2,"One step forwards, two steps backwards (UPDATE#2)   Material design is in the right direction, BUT The overlap text bug that was fixed in the previous version IS BACK. Also, the formatting bar is taking more space on a tablet, when it used to share the space with the top bar. Still waiting for ability to add tables, change fonts and colours.  (UPDATE#1)  Another bug unfortunately is when I paste an image from Chrome, only a small pink box appears. When I save the note, I can see the image fine, but now I am unable to edit the note properly because it tells me that the ""format is not supported"". Please help!  PS. Saving the image on the device, and then attaching it to Evernote is fine, but is so much less efficient.   Change also the text search highlight colour from yellow to something else because it is easily confused with the normal text highlighter! (It is orange on iOS, making it even more confusing!)"
3,com.evernote,246.05194805194805,1,1,"New Upgrade = Loss of Functionality Evernote automatically updated on 9/4/14. I use this app daily as part of my GTD-. I use the tags as my contexts and the notebooks to group Next Actions, Follow Up Items, etc. When I pull up a tag, I need the notes grouped by Notebook, but since the upgrade, I have lost the ability to see a snippet of the note content if I sort my notes this way. The only way to see this info is to sort by ""Date Created"" or ""Recently Update"" which is totally useless for me. Would not have ""upgraded"" if I would have known about this.  Also, why can't the sort be set differently if you are on Notebook vs. Tag vs. All Notes? E.G. when I select notebooks, sort by title but when I switch to tags, sort by notebook? It's very frustrating to constantly have to switch on the fly."
4,com.evernote,242.21428571428572,1,0,"COMPLETE GARBAGE!!!! Yesterday I spent nearly an hour editing a note and adding all kinds of info to it. When I was done I saved it, and I saw the notification that said it was successfully uploaded to evernote. I was able to go back and look at the note and everything was there. a little bit later I tried to start a new note (using the button on the old widget -- DONT touch that after you update to the latest version!!!) but instead of opening up a blank template for a new note, IT OPENED UP THE PREVIOUS UNEDITED VERSION OF MY OTHER NOTE... from before I spent all that time adding all the additional info. There is absolutely no way of cancelling out without uploading/saving it, so this POS app saved this version of my note, completely overwriting and eliminating all the additional info I had worked so hard to create.  what's even WORSE!!... I spent another hour fixing that note, adding all the additional info back in, and later that night when I tried to create another new note... SAME GD PROBLEM AGAIN!!!! i would be surprised if they didn't do this on purpose to try to get people to upgrade to the premium version where you can see your note history. no thanks a-holes, I'm never using evernote again!"
5,com.evernote,236.0974025974026,2,7,"I'm sick of this app mangling and corrupting nearly everything I type! This had been an issue with the Android client for years and recently started plaguing the Windows app. Words and letters often jump around randomly while trying to edit lists and checkboxes, or during copy and paste. Sometimes entire sentences disappear or move to the top or bottom line, with word order jumbled up. Years ago I used the app every day, but now I actively avoid using it as it fills me with dread. I don't know how many notes I've lost due to word corruption. Tags are used instead of folders, so there's absolutely no separation between work or personal notes. Individual notes can be attached to a particular notebook, but this approach fails because the search system is broken. Search occasionally displays results from EVERY note instead of only a specified notebook. I don't want to find word colleagues' information mixed in with my personal notes, but Evernote thinks it's OK. At the moment it is almost unusable for people with multiple projects all happening at the same time. Tags are useless. Nobody in their right mind mixes all their client notes with their personal notes in filing cabinets, so why does Evernote assume it's acceptable? For consulting jobs it would be nice to be able to separate each client into their own folder so there is no accidental overlap, but this is not possible with Evernote, so it remains a gimmick for me. I'm slowly training myself to use OneNote because Evernote is becoming unusable due to the unresolved bugs."
6,com.evernote,236.0974025974026,2,15,"It's so so.  I used Evernote with Lecturenotes. And while it was useful  to have all my notes and recordings at my fingertip in all devices (premium), there are many limitations. First the app doesn't sync with Lecturenotes so I have to upload the notebook and wait for it to finish uploading to choose its location otherwise it'd upload to the same notebook. Then I have to delete the old version of the notebook if I made any change, but I it doesn't automatically update for me. The notebooks aren't color-coded and I wish they appeare in tabs like in OneNote. There is no options to view the pages other than scrolling vertically. The recordings are at the end of the page so I have to scroll forever in big notebook. The handwriting is a huge pain, pdf notation is quite confusing and doesn't work on my tablet or phone. It takes forever to load the notebook too and the so called in text search function only works 1/3 of the time. I'm having the premium right now but it doesn't seem to worth the money so maybe I'll end it next year, unless there is a major improvement."
7,com.evernote,231.9805194805195,1,1,"2015 Update - Evernote has officially jumped the shark by removing key offline functionality for free users. You used to be able to view all notebooks (but not update them) while working offline. Then they restricted it so that you could only view notes that did not contain images. Now, you cannot even view basic, text-only notes - nor is there an option to save a note for viewing offline unless you upgrade. Evernote is now useless when data is not available: during oversees travel, as a frequent flyer, subway commutes, urban/underground settings (office, gym, shopping, etc).  In this day and age of FREE, full functionality organizational apps like OneNote (font changes, sketching capabilities, email to app, etc), I don't see a reason to continue using Evernote. Sadly after 3+ years of steady usage, I've barely touched Evernote in the past few months. As of today, I am transferring all of my data to OneNote where I can access my content at ALL times."
8,com.evernote,216.62987012987014,1,1,"I paid for the Evernote Plus to get the extra functionality on web and widget, and since the last update I regret this.    Went from 5 to 3: The only thing better in the new widget, is the letter size for me. It is now impossible to use saved searches in the widget, and that was what made it so useful. The  app itself works nice and does what it should. But without the saved searches in the widget the whole thing is not half as handy as it used to be.  So for me the whole new widget collection became pretty useless.    NEW EDIT:Went from 3 to 1: since the new update, I get at least 2-3 times the message that my widget list could not be loaded, and that it has to do something with my wifi. All other apps work fine. The previous widget worked fine. This last update really really ruined the whole Evernote experience for me, to the extent that the widget is now completely useless, frustrating me and messing up my workflow on Evernote."
9,com.evernote,214.62987012987014,3,0,"The interface has a few glaring violations of the ""rule of least surprise"". The worst is when I'm editing an existing note and tap the back button to return to the note list. It presents a dialog asking if I'm sure I want to proceed without saving the changes, and I'm given two choices: ""OK"", which will discard the changes, and ""Cancel"", which will return to the note. There's no option to save here, and the *affirmative* choice *deletes* my edits (jeez, if you're not paying attention...). Other apps either automatically save (which I would prefer in Evernote, and it does this for *new* notes), or ask if I want to save--not discard--the changes. Nope, in Evernote I have to reach up to the top left corner of the screen and tap the checkmark to save. Another annoyance is having to tap the edit button and then tap the text to edit a note. In other apps, simply tapping the text is sufficient to bring up the keyboard. A smaller issue is the left sidebar is essentially useless, since I can't actually navigate the notebook hierarchy from it--I have to choose ""Notebooks"" to get the same fullscreen list I get by just hitting the back button."
10,com.evernote,205.3961038961039,2,3,"I will miss you Springpad!! One of the main features I expected when I signed up for Evernote was to be able to allow my husband access to edit and share my notebooks and to be able to clip webpages. It seems ridiculous to have to pay per month for features that should be standard especially among members of the same household. Just say you are not a free service instead of looping people in to create notebooks that they can't do anything with.  AND If I wanted to save links, I could use bookmarks in my browser. I can't understand why web clipping is a separate app. What makes it worse is it's not available for tablets. I had to find a third party app. Can't delete notebooks from tablet. Can't hide completed tasks. Have to pay to edit offline. Evernote seems better served to desktop use, anyway. Doesn't help me when I prefer not to be stuck at my desk. I feel bad for all the loyal Evernote users that will probably have to upgrade to keep the features they use to have for free."
