app_id,score,star_num,helpful_num,review_content
org.thoughtcrime.securesms,182.27272727272728,1,656,"WHAT is the point of advertising ""private"" or ""secure communication"" if you are going to get into my contacts database and send me notifications that new users in my contacts have joined Signal?  I didn't ask for that information, the new users did not give their permission to share that information with me, and most importantly, I NEVER gave Signal permission to access my contacts.  Clearly Signal is NOT about protecting privacy.  Uninstalling."
com.mapswithme.maps.pro,92.68801652892563,1,281,"I paid for this and now it's free. Typical bait and switch. Now they want me to pay for in-app unlockables. This is literally a crime. How dare you put ads in an app I paid for and features I paid for behind another pay wall! I paid for a lifetime ad-free license. At least give us a code for removing ads in the app you thieves! ""We need ads to stay afloat"" what garbage, 50 million plus downloads. I don't want to hear excuses! I'm contacting Google."
org.thoughtcrime.securesms,91.44008264462809,3,197,"Even though I still use this as my main texting app, unfortunately I have to knock off 2 stars for a huge flaw that the developers refuse to see as an issue. If a user has Signal installed and then uninstalls it, but doesn't unregister their Signal account, your texts will be sent via Signal and your intended recipient won't receive them via their SMS app. There's not a way for you to really know they uninstalled unless they tell you and it needs to be made more apparent to the user when they uninstall that they also need to unregister their account. Luckily, if you know your texts are going to a black hole, you can hold the ""Send"" button and force it to go via unencrypted SMS. I had 2 people who thought I was ghosting them because of this engineering oversight. You can still receive their texts, but they can't receive yours, so it makes you think communication is all good. Other than this massive flaw it's a fantastic app. Love the UI and feature set, but if there's even the slightest chance that I can send texts to someone and have them not receive it, that needs to be addressed ASAP before I can recommend this to anyone else. I've seen many threads open on this same topic and it falls on deaf ears. Pleeease devs, realize it's a problem and take steps to fix it! Some potential solutions: 1. Make it clear to the user when they uninstall that they also need to unregister 2. If someone's messages come in unencrypted, obviously they uninstalled Signal. The app should prompt a warning that the user likely uninstalled and that they won't receive your texts if you try to send via Signal, and recommend switching to unencrypted SMS. That's just off the top of my head and I'm sure there's more elegant ways to solve it."
org.thoughtcrime.securesms,88.15702479338843,1,0,"This app is used all the time and is nearly perfect. Really bad with media though.  Only one image at a time. Can't send video sizes that standard pixel app can but pixel is special like that though even note 5 couldn't send much of a video file. Can't send messages to people without having to show your phone number which would make it more stealth. Also if you set messages to dissapear after certain time frame if android to iPhone , the time will go back to not dissapearing when the other person replies if they haven't also set it the same or set it at all. Also shame that it doesn't let you choose a app icon and shows its a messenger app unless you use a entire icon pack or launcher like nova.  Pixel is best phone ever and is only phone I haven't rooted and I'd like the app icon to appear as a calculator icon but I then have to change my launcher which sucks.  For a stealth app we should have icon options for home screen.   HOWEVER apparently the SMS and calls are secure and not logged with telco and not able to be retrieved from phone once deleted and can't be listened into so thats awesome if it's legit.  I know for a fact that if you out spyware on a mobile and clone a phone without person knowing then you can NOT view signal app SMS like you can every other app but you can listen to phone calls if you have control over the other handset microphone which can't be helped.   It's a legit app.very good at the basic needs so long as what we are told about it not being logged or recorded is true.  I'd pay plenty for this app if I had to and was able to attach a file or multiple images.  Would be great if you could have an option to send a message in a image too. So anybody who finds your phone and opens app sees a picture but not the message unless they had a code to extract the message from the picture like another appointment I've seen.  That would be a great feature . Thanks for this app"
org.thoughtcrime.securesms,83.7417355371901,1,223,"If it's so privacy focussed, why can't it be installed without granting permissions to almost everything on the phone? Why can't I use this messaging app without granting access to my calendar, or body sensors, or my contacts? Some specific permissions are needed obviously (e.g. camera & storage if you want to take a photo and send it). But why my calendar or contacts? Must be data mining or would allow installation without these permissions. BBM don't do it. So, Signal app cannot be trusted."
com.mapswithme.maps.pro,78.97107438016529,3,158,"I was a bit lost on a tropical island's hill. Used it to find the right path back. Recent version seemed to be acting perversely, sending one to slip road to exit motorway only to rejoin it. Also no option for using motorway if available. Not good. Also it would be useful to be able to have waypoints and preferred routes and types of roads to avoid. Updated version now doesn't bring up saved favourites when planning route when tapping on To button. Another feature absent is any indication of the name of the road you are on, or, often, the junction numbers on motorways. The maps do not always show road names as well, or if they show up, the names will vanish when you zoom."
com.mapswithme.maps.pro,78.20454545454545,2,287,Bhutan I would have rated 4 or 5 stars like others but since i live in Bhutan and there is no district except for capital Thimphi included in it... i would rate it 5 star if the maker of this app includes all the district or places in bhutan not just thimphu alone...
org.thoughtcrime.securesms,76.61570247933884,2,130,"The ""make profile visible"" issue is a constant source of frustration for all the users on my signal threads. On my (android) phone, I get a pop up window when I first join or start a thread which lets me make my profile visible but once done, there is no way view that setting. If you have several threads, it's hard to remember if you did that and impossible to verify that you did it correctly. We all end up spending a good deal of our time asking each other if you can see see my name and telling each other to access settings that either don't exist or are practically impossible to find. I think it may be different for iphone users because some on the thread swear that it's available any time but I've spent well over an hour on my phone trying every possible icon to no avail. Other users who don't have that problem are annoyed that they can't see my profile probably think I'm just not able to figure it out. Please just make a simple button in settings for all users of both platforms to make the profile visible!"
com.mapswithme.maps.pro,76.28305785123968,2,221,"Good, but battery hog Fast & free. Good functionality. Not as complete as some others when it comes to smaller roads and lanes. But it is a good app that I use regularly. Great for displaying KML routes without a data/Wi-Fi connection. I use it to display my planned bike routes while on the road. BUT, the most recent version is burning through my battery, even while I'm not using it! Today without even running the app once, it used 33% of the total battery usage for the day. That's a problem."
com.mapswithme.maps.pro,75.67561983471074,2,123,"Voice guidance is awful: says keep right/left where I have to go straight, doesn't say exit numbers, doesn't say street names. Search is poor: shows the list, but how do I check these places on the map. I click the place and it shows my current location with the option to route to, but sometimes it shows the destination, go figure! No alternative routes, not optimal route, it can give the route which includes traffic lights, a couple of left turns instead of short residential road and right turn"
org.thoughtcrime.securesms,74.52272727272728,1,1,"STOP! Using Signal as your SMS app traps you forever! I found this out when I switched devices: Any friends who've sent a Signal message can't send an SMS to that person anymore. Anyone who has to stop using Signal for any reason becomes unreachable & the devs labeled the problem ""won't fix"". Once someone texts you by Signal, Signal won't let them send an SMS anymore; there is no option, no fix. Signal messages sent to a former user go to a black hole. No failure message, no notice that it wasn't received; SMS messages come in & your responses go nowhere. In short, trying Signal with even a few friends FU¢<S YOU out of them ever being able to reach you by SMS ever again (unless they ALL quit using the app?). It's evil. DO NOT USE THIS APP FOR SMS! Ironically upbeat original review follows: Better than most messaging apps, has a nice Dark theme, & can also be your default SMS app, which is convenient (it's a trap! See warning at top). I don't like it telling everyone in my phone book that I'm on Signal. That's pretty invasive & should be optional. Encrypted Signal conversations seem to be stored only on each device, which is more secure, but means that if you reinstall or lose/break your phone, you lose all previous messages, irretrievably. Worse, there's no method to save just one conversation, just a raw .xml log of every message ever, with no encryption. A more secure way to back up individual conversations would put this app in 5-star territory. A Search to pick out certain words in my message history would be super handy too. So would Google Voice integration, or Google Hangouts, Google Allo, or Google Duo... Or get really wild & support WhatsApp messaging so we don't need both apps! Signal is not a decentralized messaging network, so it'll only work as long as Signal's servers are online, & encrypting the transmissions won't help if your phone (or your associate's phone) is hacked; Actual ""privacy"" may vary based upon your skills & how exposed you are in other ways. Don't blame the app if your device is insecure! Overall it's a very pleasant app to use. Making it my default SMS app means I never have to look at a phone's ugly default Messaging app (also means I'm trapped forever! See warning at top). If there's a better encrypted messaging app, I can't tell you about it. DO NOT USE FOR SMS, SEE WARNING AT TOP."
com.mapswithme.maps.pro,73.5495867768595,3,274,"Gave me notification spam, pestering me about some inane part of the app when I wasn't using it. Immediately uninstalled. Developers need to be punished for abusing the notification system (and using it as self-advertising). More and more apps are doing this and users end up drowning in constant useless notifications, and it will only get worse until people take a stand or app stores have to formulate stricter rules regarding them."
com.mapswithme.maps.pro,72.11776859504133,3,197,"It used to be good and still is for basics but: 1) offline navigation instruction completely wrong. The voice says to go straight but instead you need to exit the motorway on the right. 2) rerouting takes too long time most of the times. The navigator keeps on following the route it expected despite the road I took is wrong (for the above mentioned reason). 3) expected time of arrival... the calculator is really negative at the beginning but optimistic after a few km... if I plan a 200km road, the first time indication is about 4hrs (or anyway higher than any reasonably possible time). After 100 or 120km, despite I'm still missing 80km road, the expected time of arrival drops to 1 minute.  Driving with your app has become hard!"
org.thoughtcrime.securesms,70.95454545454545,3,178,"Worrying 50m investment to Signal may mean it ends up becoming something totally different in future. Massive 1.4GB file size. Annoying and unnecessary dark shadowing at the bottom of photo previous - the photo is already scaled down, why add a shadow to the bottom? The app has fleshed out nicely and it's better than Facebook, but given the cofounder of WhatsApp sold out to Facebook, what ends up happening with this 5 years later? Food for thought. This app needs fixes to call volume handling."
org.thoughtcrime.securesms,69.5702479338843,2,224,"Bug where notifications don't come through ~25% of the time is present across multiple Android devices. All standard troubleshooting has been completed to no avail. Multiple emails have been sent to support with no response. I wanted to love this app and moved several people in my family over, but the truth of the matter is that the current version is unreliable on Android."
com.mapswithme.maps.pro,69.05578512396694,3,107,"Adds have been added in one of the never versions, don't update if you haven't already! It's a good app, but it's NOT a universal map. It works best if you find your destination address with a browser, as the names in OSM don't always match. Due to size limits, searching by street numbers is not possible and this severely limits your options. The app goes nuts if your GPS is broken, and you can't just follow the route by moving the map with fingers, as popups keep reappearing. Maps.me is best if you just move to points you know in advance, using the best in class bookmark system"
org.thoughtcrime.securesms,68.43181818181819,2,1,"In the latest version (downgrade of the app, forced upon users) the text we view while writing is now even smaller & after we send a text, the words are larger. Can anyone say, ""Backwards!"" Who's idea was it to make the text larger AFTER we send it, WHEN IT DOESN'T MATTER?! LOL. Does anyone read these reviews? Attempted to change 3 stars to 2 stars, because of latest downgrade. What makes ""smaller text"" part of a purported 'improvement', when the text was already too small?! Previous version (that didn't need fixing/breaking) displayed 2 checks to signify a text was received. Now, it's a circle with a check inside covering another circle, with a fragment of that circle visible. Why?? The 2 checks before was just fine & easier to see! * signifies improvements we're suggesting. * 2 checks please. Someone thought it a good idea to remove the color aqua/turquoise from color choices. Why?! Bring back what worked fine & stop wreaking the app. This is just what most app Undevelopers do to apps. They make changes, to show they're doing something, as if any changes made will be viewed as improvements. They are NOT improvements, hence the truth-telling above ""downgrade of the app"". We don't actually SEE any improvement in this version. Group chat, OK. We don't care about that. We'd like to SEE what we're writing. * And how about (as in native text app) as we wrote a text, let the window expand vertically, to more than 4 lines, so we don't have to scroll up & down just to see the first part of the sentence we're proof reading. We would have continued using older versions had we been given a choice. We save old APK files (installation files) of apps so we are NOT at the effect of these busybodies, the Undevelopers who ruin so many well functioning apps. It's as though the Undevs make changes, so as to look as though they're doing something & they are needed. In reading hundreds of reviews, we've discovered that many, many people are aware of this & at the effect of it, since they are NOT aware of how to save old APKs. Please stop wreaking Signal & manager, if there is one, please stop allowing these unnecessary downgrades of Signal to continue. * Please at least gives us the option to have larger text! * Again, let the window expand as we write... Although we appreciate the app & the idea, too often, a call doesn't connect & we have to restart app or even the phone. It's been like this for a looong time! On Android & iPoo. Have shared with many & many have same issue. Haven't noticed any improvement with this in 2 years. Video quality on calls not impressive. Sound quality sometimes OK. Good for sending files (sometimes). Wonder about any real privacy, since there's a mic in the phone? How does actual ""privacy"" happen in this situation? Signal is definitely worth having. Worth hoping for better... Nice to know (or ""believe"") Devs care about the consuming population. The way we actually speak of it is 4 stars. These words represent several individuals who use Signal. Thanks for doing your best!"
org.thoughtcrime.securesms,66.60950413223141,3,131,"After using it for a few weeks, I've noticed that there is almost never any on screen indicator a call is coming in. I was literally texting someone when they attempted to call me and all I saw was the ""Missed Call"" indicator in the chat after they hung up. Also, after the newest update Signal will no longer be accessible from my ""open apps"" button on the bottom of my screen. It just vanishes, as if it wasn't in use."
