app_id,score,star_num,helpful_num,review_content
com.simplemobiletools.calendar,135.25,3,9,"Another app from Simple Mobile Tools without ads or internet permission. I really want to like this app, I love the fact that it is separate from the android calendar, potentially improving privacy, but can sync with it using Caldav if required. I would like to use it stand-alone, but currently there are too many quirks for it to replace my set up using 'Offline Calendar' & 'Calendar Widget', ⚫Issues include: ▪display of selection buttons when not using default orange. ▪Notifications disappear if the event is opened. ▪Notifications are not updated as time passes, still say ""tomorrow"" when event is today if reminder set for previous day. ⚫Wishes: ▪option to change the date format everywhere from 'month/day' to 'day/month'. In 'Event List' & Widget: ▪option to blank the text ""All-day"" (often events without times are not all-day events), ▪option to remove the 2nd line of entry ('to time' & 'description'), ▪option for an entry to appear every day for events lasting > 1 day. ⚫EDIT Since Aug there have been several fixes, particularly to handling of Caldav calendars, and thanks for the larger event colour tags."
com.simplemobiletools.gallery,113.0,1,156,"Went to use ""set as..."" to change my background and it completely glitched my phone. It would turn my screen black and flicker the screen on and off. Also locked my screen and couldn't unlock. I used to really like this app, wont be using now due to this glitch. Spent way too much time trying to reset everything and setting my phone back up (had to factory reset)."
com.simplemobiletools.gallery,100.25,1,217,"Yesterday I went to play a video for a friend of mine, an mp4 to be exact, and when I opened the folder it was in, it and all the other video files were gone! The folder was completely empty. When I backed out of the folder the item counter read ""47 items"" but inside there was nothing. I uninstalled the app and everything was right as rain. Im not sure why this is happening but it needs to be addressed. If I hadn't paid for it I wouldn't care. I will be contacting support right after posting this"
com.simplemobiletools.gallery,91.0,1,236,"What happened to the galleries that would simply let me chose folder(s) where my images are? I want to look at my photos, not gizilion thumbnail images from mp3 files in my music collection, podcast collection, book collection and God knows what. I don't want to have to manually exclude any new folder I create. This is not what I call ""simple"". I cannot even find my photos. Uninstalled."
com.simplemobiletools.calendar,90.25,2,5,"If it had a Google Calendar import and the ability to play different reminder sounds for different events, I would have happily paid $10 for this app. But whether it's free or $1, who cares: it's not worth the price. Who has time to re-enter their calendar? What would *really* be simple is if I could just hit a button, import my calendar, and start using the app ... but unfortunately the name is a lie 🤨"
com.simplemobiletools.gallery,89.25,3,9,"There's a bug in the app which doesn't allow to set photos as my wallpaper. I'm using the Poco F1 and I'm on MIUI 10.3.7 if that helps. Apart from that, no other issues. I especially love the ""show folders content"" option. If you could tweak the setting to make it look more like a timeline view that'd be great. Also an option for a side menu ? Easy access to folders, recycle bin etc. Since when I use the ""show folders content"", I lose access to the recycle bin."
com.simplemobiletools.calendar,83.25,3,1,"Certain appointments won't show up in the weekly view and I want the daily list to be colored by the event type... also wish the daily view were listed by time, not event type...?"
com.simplemobiletools.calendar,80.0,2,0,"Too many bugs, i need to restart the app after adding new type of event in order it to appear, i need to resrart the app regularly, because i see only the blank week instead of my events, sometimes i need to create the event twice or thrice in order it to appear in the schedule, the events arent shown in the time table accordingly to the timeline, it slips half an hour forward, for example. However. I like the color customization this app has."
com.simplemobiletools.gallery,80.0,1,0,"I've loved this app. It has been my replacement for quickpic. But with the recent update hid ALL the files in my sd card. I was just trying to hide  few folders. Idk what to do.   UPDATE AFTER THE DEV'S REPLY: still nothing. It doesn't show any of my files on music apps or the stock gallery. Only in the file explorer.    The way this mess started was by me selecting multiple folders and trying to exclude them, as it didn't work, i tried to hide them. Suddenly it gave me several ''unknown error'' bubbles and as i reopened it, it only showed the internal memory files. Nothing on my sd card is visible. I have very vital files in it, so i need a solution. Please.   I think it's necessary for me to mention that i uninstalled and reinstalled the app, i also deleted several nomedia files in hopes it would fix my problem, but it didnt.  Now that i reinstalled it, if i use the ''temporarily show hidden files1' option it does show me my pictures. But it does not restore my media in general. I cannot listen to my music or audio files in any player, only directly from the file explorers.   Finally, i tried what you said in your reply, but the problem is the apo hid files i didn't even hide, so it doesn't even show me an ''unhide'' option for most of them.   Please i expect a quick reply. Thanks in advance.   Second update:files are finally appearing after trying twice more. Will this be a permanent solution?  Can i safely exclude fiolders withtout my files being hidden by .nomedia files again?"
com.simplemobiletools.gallery,78.75,2,119,Horrible. You can sit there and delete files that you don't need anymore and it will show that it has been trashed but when you reopen the app the files don't go away. They are still there. What this does is jam up my phone with useless files and slows down my phone without even knowing that the video / picture files have never been deleted. On top of that you have to deal with ads on a gallery app... SMH Uninstalling and looking for a more useful app.
