app_id,score,star_num,helpful_num,review_content
org.wordpress.android,83.78467153284672,2,74,"Change the profile pic from the app was successful,new pic applied in WordPress web based,but in the blog owner comment reply list the blog owner gravatar still using the old previous profile pic,I wish there will be select all in Comment menu so user can select all spam comment n delete at once.Why if we change public name it doesnt change all the previous public name in older comments with new one!?the Reader tab have issue it still showing me content from blog site i have unfollow for months!"
com.habitrpg.android.habitica,82.36131386861314,1,2,"Updated review: I have used this app for half a year, against my better judgement.  I have sent eighteen bug reports to the devs.  Little.  I could easily send another twenty more, but it isn't worth the time.  This is simply the most bugged piece of software I have ever used.  The avatars are hideous.  The only good thing that this app has going for it is the clean user interface, and a clever separation of the to-do list into three sections.  It is missing some pretty basic to-do list functionality.  The game loads slowly, and doesn't work without an internet connection.  Some of the bugs I've experienced: Reminders pop up on random days, no matter how many times I readjust their settings. Constantly having trouble connecting to the servers. Visual bugs: shows one item, but you get some other item.  Newly equipped main weapon won't show on avatar until app restarted. Progress bars for quests spaz out every time you open the page. Keyboards won't go away once they pop up. And the list goes on and on..."
org.wordpress.android,81.91605839416059,2,2,"This app is so bright it hurts. You're trying to read, write and relax, but the blank color scheme reminds me more of the sun hitting my face at 6am than of me relaxing while browsing.  This app doesn't have some sort of front page like imgur has for example, instead all we get is the ""discover"" feature which only promotes bland, vague and uninteresting posts with no personality. Just look at it right now! Where are the people sharing relatable stories, or video game strategies, or book or tv show reviews or something? All the posts featured there are just... unattractive, to say the least. And it's the only source of new content there is, otherwise you have to look it up manually.  There are no set categories or tags, instead you make them up and unless people type them up exactly like you did they won't see your post, which is counterintuitive and discourages finding new posts or bloggers.  People can disapprove or even edit your comments. That is twisted, discourages freedom of speech and opinion sharing and even allows people to literally put words in your mouth by changing your original comment to whatever they want.  You can't dislike posts or comments, so the voting system is pointless. You might think otherwise because Twitter and Vine have no downvotes,  but they promote discovery of new content in various ways, while WordPress does not.  The search bar doesn't work. I've tried finding my own posts with the exact same title they have and they don't appear.  All of these factors make it feel deserted and lacking of a community, and discourage new users of getting into writing or reading on WordPress. Also there used to be a eay to add a black outline to images; a necessity when the background is white."
com.habitrpg.android.habitica,75.53284671532847,2,0,"Good idea in theory but the interface is way too ham-handed. If I try to set multiple reminders for a task, it seems like it would allow it, but then it discards the second reminder time and only saves the first one. Moving tasks up and down the list doesn't work properly (lags and jitters). Tapping refresh puts them back in their original order making re-sequencing them pointless. Which brings me to another point: refresh has to be tapped constantly to see changes that you make. I created a habit and it seemingly disappeared right after hitting save and wouldn't appear until I refreshed. Also, how do I hear the theme song? I can change it in the settings but tapping each option simply changes which one is active. How am I supposed to know which theme I want if I can't preview it? Another problem is the tutorial: tapping the menu items at the bottom didn't always activate each sections tutorial. For example, I tapped on To-do and created some items, then went to Rewards, saw that tutorial, went back to To-do, and then the app decided to display the tutorial for To-do. Making tasks, habits and goals like an RPG is a great idea. But honestly, I think most people would get frustrated at this clunky interface and just give up after 5 or 10 minutes like I did."
org.wordpress.android,70.00729927007299,1,0,"Ugh. Every 'update' frustrates me to no end. I have things working as they should... then an update like the latest wrecks everything.  Content in limbo. Endless upload errors. Takes forever to post. And... ugh... what happened to my custom image resize controll'? Once upon a time this app worked beautifully and did what it should... you see... people posting from their phones are ON THE GO! I just want to post quickly with no hassle- the control needed but not clutter. Many times its mobile data, in a remote location. The app used to be lean and mean and do the job perfectly. Now its like it's a mini desktop app that's bogged down with junk. What used to take seconds... select some pics on phone ... share to WP app... add text hit upload and DONE... is now futz with this and that ... fight the awful quirks ...hit post and wait wait wait...error. error.  Wrangle things back to where they work again....then get blitzed by the next update"
com.habitrpg.android.habitica,67.54014598540147,2,0,"I seriously don't understand. The basic functions of the app are so janky and broken. In the avatar creation, I had to keep pressing the options I wanted over and over for it to actually work, then when I finished the avatar had options I didn't pick. Every habit defaults to being both positive and negative. I know there has to be some default, but it's kind of weird that if I have a positive habit I have to tap the negative button. Adding tags is really clunky because the tags have to be added to the filter, (I guess it works but it's unintuitive to have to add a tag to the filter instead of just tagging the task itself) but when I add them they don't immediately get added. They disappear and then get added a few minutes later. Half the time it won't let me move around the tasks. Sometimes the FAQ text pops up overlaying whatever screen I'm on. Switching between habits, dailies, to-dos, and rewards is finicky. Sometimes swiping doesn't work, sometimes trading the icon doesn't work. I have to tap things in the equipment menu multiple times for them to work. Same for the avatar menu. With patience all this stuff does eventually work, but it's tedious to just use the app. The app would be 10 times better just by fixing the buggy menus"
org.thoughtcrime.securesms,65.92153284671534,2,1,"In the latest version (downgrade of the app, forced upon users) the text we view while writing is now even smaller & after we send a text, the words are larger. Can anyone say, ""Backwards!"" Who's idea was it to make the text larger AFTER we send it, WHEN IT DOESN'T MATTER?! LOL. Does anyone read these reviews? Attempted to change 3 stars to 2 stars, because of latest downgrade. What makes ""smaller text"" part of a purported 'improvement', when the text was already too small?! Previous version (that didn't need fixing/breaking) displayed 2 checks to signify a text was received. Now, it's a circle with a check inside covering another circle, with a fragment of that circle visible. Why?? The 2 checks before was just fine & easier to see! * signifies improvements we're suggesting. * 2 checks please. Someone thought it a good idea to remove the color aqua/turquoise from color choices. Why?! Bring back what worked fine & stop wreaking the app. This is just what most app Undevelopers do to apps. They make changes, to show they're doing something, as if any changes made will be viewed as improvements. They are NOT improvements, hence the truth-telling above ""downgrade of the app"". We don't actually SEE any improvement in this version. Group chat, OK. We don't care about that. We'd like to SEE what we're writing. * And how about (as in native text app) as we wrote a text, let the window expand vertically, to more than 4 lines, so we don't have to scroll up & down just to see the first part of the sentence we're proof reading. We would have continued using older versions had we been given a choice. We save old APK files (installation files) of apps so we are NOT at the effect of these busybodies, the Undevelopers who ruin so many well functioning apps. It's as though the Undevs make changes, so as to look as though they're doing something & they are needed. In reading hundreds of reviews, we've discovered that many, many people are aware of this & at the effect of it, since they are NOT aware of how to save old APKs. Please stop wreaking Signal & manager, if there is one, please stop allowing these unnecessary downgrades of Signal to continue. * Please at least gives us the option to have larger text! * Again, let the window expand as we write... Although we appreciate the app & the idea, too often, a call doesn't connect & we have to restart app or even the phone. It's been like this for a looong time! On Android & iPoo. Have shared with many & many have same issue. Haven't noticed any improvement with this in 2 years. Video quality on calls not impressive. Sound quality sometimes OK. Good for sending files (sometimes). Wonder about any real privacy, since there's a mic in the phone? How does actual ""privacy"" happen in this situation? Signal is definitely worth having. Worth hoping for better... Nice to know (or ""believe"") Devs care about the consuming population. The way we actually speak of it is 4 stars. These words represent several individuals who use Signal. Thanks for doing your best!"
com.habitrpg.android.habitica,65.19160583941606,3,1,"Idea is great and I love using this app, but parts need refining. Sorting items (ToDos, Dailies, etc) from the app doesn't persist, but doing so from the website does. There is a widget for Habits and Dailies, but not for ToDos, and I this ToDos is the list people would best like to see made into a widget. There is no clean way to take back a button press (If you accidentaly pressed on + and didn't mean to your options are leave it as is even though you didn't earn the rewards or edit the task to include a minus option and take the HP hit). Would be nice if you could automatically sort by Due Date ascending. Creating a Daily and setting it to all days, then editing it and removing the current day still leaves the Daily Active (Same with the reverse if it was first created as not enabled for this day of the week, then editing and enabling it, it remains disabled). Etc , My point is the idea is amazing, there is a huge community behind it which is great, and I personally love the app. But it lacks polish around the edges and some bugs could be fixed."
org.wordpress.android,63.18248175182482,2,4,"It's worse sorry Since the last update I can't use my regular photo viewer to choose pictures from my post. I now have a list of images that seem to come from my tablet but not it's sd card; where all my images are. I have around 30,000 images in various picture folders (I am travelling and have a 128GB sd card in my tablet where my images are stored)  and this update to 3.9 has made choosing images impossible.  I have two possible workarounds. Either I upload the images to google or similar and put a link in the post to them. Or my second option is to upload the images in the WordPress app through the media menu item and then choose these images I want in the post using your new chooser interface.  Honestly I see what you are trying to do with the new interface but it does limit the user as to how they choose their images. Handing this task over to the operating system, as it was before, makes more sense and makes your app lighter.  Please switch back to the normal way of adding images. Updating posts on tablets and phones has been great with the WordPress app and I feel it's just been made more difficult with this update."
org.thoughtcrime.securesms,63.065693430656935,2,130,"The ""make profile visible"" issue is a constant source of frustration for all the users on my signal threads. On my (android) phone, I get a pop up window when I first join or start a thread which lets me make my profile visible but once done, there is no way view that setting. If you have several threads, it's hard to remember if you did that and impossible to verify that you did it correctly. We all end up spending a good deal of our time asking each other if you can see see my name and telling each other to access settings that either don't exist or are practically impossible to find. I think it may be different for iphone users because some on the thread swear that it's available any time but I've spent well over an hour on my phone trying every possible icon to no avail. Other users who don't have that problem are annoyed that they can't see my profile probably think I'm just not able to figure it out. Please just make a simple button in settings for all users of both platforms to make the profile visible!"
org.wordpress.android,61.56204379562044,2,0,"It's good but..... It's good but some more improvements required such as edit post quickly...... I am using wp but when I trying to edit previous post,option shows but not edit another problem is setting, view site,user options not working  and site stats shows too late please upgrade it's suddenly."
org.wordpress.android,60.839416058394164,2,12,"The update buried the feature I use most in the app This app was great until the last update. The part of the app that I used the most was the admin page access. It was always the first thing I looked at whenever I opened up the app.     I maintain several WP sites for myself, both business and personal. I use the app for when I don't want or have time to sit down at my pc to do updates.      Where I thought the app shined was maintaining my WP sites. The app allowed me to be able to easily cycle through all my sites quickly to see if they needed plugin or WP updates. After selecting the admin option, I could click each site and within minutes have all the sites updated, significantly quicker than using a pc to do it.    With the latest update to the app, the developers buried the admin page access 3 clicks deep, so what would take me 1 click + a click per site to check update status, now requires me to click into the settings, then 2 clicks per site to check for update status.    I considered this app a 5 star app before this bizarre change. I'm hoping it was an oversite or test on the developers part and that they'll fix this in the next update.  Otherwise, at least in my opinion, they've partially crippled the app."
org.wordpress.android,60.83029197080292,3,11,"Useful but to be improved. 1) it's missing a search field.  2) no multi select and upload of multiple images from a single folder, it's either messy all together or one by one. 3) I lost the whole text and images of a new post because of an internet connection error, this should not happen no matter how bad the connection is, offline editing is what users expect from an application vs the web-admin! 4) post settings button is hidden when keyboard is open 5) can't edit site url 6) can't batch upload local charges"
org.wordpress.android,60.56204379562044,3,0,"It's good but..... It's good but some more improvements required such as edit post quickly...... I am using wp but when I trying to edit previous post,option shows but not edit another problem is setting, view site,user options not working  and site stats shows too late please upgrade it's suddenly."
